Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2018
"Município Resid";"Masculino";"Feminino";"Total"
"290035 Adustina";1;1;2
"290060 Aiquara";2;-;2
"290070 Alagoinhas";2;-;2
"290080 Alcobaça";1;-;1
"290090 Almadina";-;2;2
"290100 Amargosa";5;2;7
"290120 Anagé";1;-;1
"290130 Andaraí";-;1;1
"290180 Antônio Gonçalves";1;-;1
"290195 Apuarema";2;1;3
"290205 Araças";3;1;4
"290210 Araci";-;1;1
"290225 Arataca";3;-;3
"290230 Aratuípe";1;1;2
"290250 Baianópolis";1;-;1
"290280 Barra da Estiva";11;3;14
"290290 Barra do Choça";6;1;7
"290310 Barra do Rocha";1;-;1
"290320 Barreiras";2;-;2
"290340 Belmonte";1;-;1
"290370 Boa Nova";-;1;1
"290390 Bom Jesus da Lapa";4;-;4
"290405 Bonito";1;1;2
"290470 Buerarema";12;6;18
"290480 Caatiba";5;-;5
"290490 Cachoeira";9;3;12
"290510 Caém";2;-;2
"290520 Caetité";1;-;1
"290540 Cairu";5;1;6
"290550 Caldeirão Grande";1;-;1
"290560 Camacan";1;-;1
"290570 Camaçari";1;1;2
"290580 Camamu";24;25;49
"290630 Canavieiras";1;4;5
"290640 Candeal";1;-;1
"290650 Candeias";-;1;1
"290730 Castro Alves";1;-;1
"290740 Catolândia";-;1;1
"290800 Coaraci";5;1;6
"290810 Cocos";7;7;14
"290860 Conde";-;1;1
"290870 Condeúba";1;-;1
"290880 Contendas do Sincorá";1;2;3
"290910 Coribe";6;8;14
"290930 Correntina";4;-;4
"291000 Dário Meira";2;1;3
"291005 Dias d'Ávila";1;2;3
"291020 Dom Macedo Costa";1;-;1
"291040 Encruzilhada";1;-;1
"291072 Eunápolis";1;-;1
"291077 Feira da Mata";1;1;2
"291080 Feira de Santana";1;1;2
"291085 Filadélfia";1;1;2
"291090 Firmino Alves";-;1;1
"291100 Floresta Azul";1;1;2
"291120 Gandu";29;9;38
"291190 Iaçu";-;1;1
"291210 Ibicaraí";-;2;2
"291220 Ibicoara";14;5;19
"291230 Ibicuí";1;1;2
"291270 Ibirapitanga";8;5;13
"291280 Ibirapuã";1;-;1
"291290 Ibirataia";10;4;14
"291340 Igaporã";-;1;1
"291345 Igrapiúna";20;6;26
"291350 Iguaí";1;3;4
"291360 Ilhéus";19;12;31
"291390 Ipiaú";18;6;24
"291430 Iramaia";1;-;1
"291440 Iraquara";3;2;5
"291460 Irecê";1;-;1
"291470 Itaberaba";1;1;2
"291480 Itabuna";5;3;8
"291490 Itacaré";9;4;13
"291510 Itagi";5;-;5
"291520 Itagibá";1;-;1
"291540 Itaju do Colônia";-;1;1
"291550 Itajuípe";1;-;1
"291560 Itamaraju";1;-;1
"291570 Itamari";4;1;5
"291580 Itambé";8;-;8
"291630 Itapebi";1;1;2
"291640 Itapetinga";3;-;3
"291670 Itaquara";-;1;1
"291680 Itarantim";2;-;2
"291710 Itororó";3;-;3
"291720 Ituaçu";-;1;1
"291730 Ituberá";29;26;55
"291733 Iuiú";-;1;1
"291735 Jaborandi";-;1;1
"291740 Jacaraci";5;2;7
"291750 Jacobina";1;-;1
"291760 Jaguaquara";22;12;34
"291770 Jaguarari";1;-;1
"291780 Jaguaripe";1;1;2
"291800 Jequié";14;7;21
"291820 Jiquiriçá";13;6;19
"291830 Jitaúna";1;5;6
"291835 João Dourado";1;-;1
"291855 Jussari";-;1;1
"291860 Jussiape";-;1;1
"291880 Laje";15;7;22
"291920 Lauro de Freitas";1;-;1
"291930 Lençóis";5;-;5
"291955 Luís Eduardo Magalhães";1;-;1
"291970 Macarani";3;-;3
"291980 Macaúbas";1;-;1
"292000 Maiquinique";2;-;2
"292060 Maragogipe";-;1;1
"292070 Maraú";27;9;36
"292120 Miguel Calmon";8;5;13
"292140 Mirangaba";-;1;1
"292150 Monte Santo";1;-;1
"292170 Morro do Chapéu";2;-;2
"292230 Muritiba";1;-;1
"292240 Mutuípe";55;28;83
"292250 Nazaré";2;1;3
"292260 Nilo Peçanha";33;35;68
"292265 Nordestina";2;-;2
"292270 Nova Canaã";1;1;2
"292275 Nova Ibiá";11;5;16
"292303 Novo Horizonte";1;-;1
"292350 Palmeiras";2;1;3
"292390 Pau Brasil";5;4;9
"292410 Pedrão";1;-;1
"292460 Pindobaçu";3;-;3
"292467 Piraí do Norte";11;3;14
"292500 Planalto";4;-;4
"292510 Poções";1;1;2
"292520 Pojuca";2;2;4
"292530 Porto Seguro";5;4;9
"292575 Presidente Tancredo Neves";43;35;78
"292640 Riacho de Santana";-;1;1
"292665 Ribeirão do Largo";2;-;2
"292690 Rio do Pires";1;-;1
"292700 Rio Real";6;-;6
"292740 Salvador";5;3;8
"292750 Santa Bárbara";1;-;1
"292770 Santa Cruz Cabrália";4;1;5
"292790 Santa Inês";2;1;3
"292805 Santa Luzia";3;3;6
"292810 Santa Maria da Vitória";13;6;19
"292870 Santo Antônio de Jesus";6;1;7
"292910 São Felipe";1;-;1
"292905 São Félix do Coribe";7;3;10
"292920 São Francisco do Conde";2;-;2
"292935 São José da Vitória";5;5;10
"292940 São Miguel das Matas";3;3;6
"293010 Senhor do Bonfim";2;2;4
"293015 Serra do Ramalho";1;2;3
"293030 Serra Dourada";3;1;4
"293075 Sítio do Mato";1;-;1
"293080 Souto Soares";1;-;1
"293120 Taperoá";107;77;184
"293150 Teofilândia";1;-;1
"293160 Teolândia";85;56;141
"293200 Uauá";-;1;1
"293210 Ubaíra";15;13;28
"293230 Ubatã";6;2;8
"293250 Una";26;18;44
"293270 Uruçuca";15;11;26
"293280 Utinga";8;5;13
"293290 Valença";183;116;299
"293320 Vera Cruz";-;1;1
"293330 Vitória da Conquista";5;4;9
"293340 Wagner";20;7;27
"293345 Wanderley";1;-;1
"293350 Wenceslau Guimarães";100;103;203
"Total";1295;807;2102
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
