Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Crit.Confirm/Descarte
Período:2018
"Município Resid";"Clínico-Laboratorial";"Clínico-epidemiológico";"Total"
"290035 Adustina";-;2;2
"290060 Aiquara";-;2;2
"290070 Alagoinhas";1;1;2
"290080 Alcobaça";-;1;1
"290090 Almadina";-;2;2
"290100 Amargosa";2;5;7
"290120 Anagé";1;-;1
"290130 Andaraí";-;1;1
"290180 Antônio Gonçalves";-;1;1
"290195 Apuarema";-;3;3
"290205 Araças";3;1;4
"290210 Araci";-;1;1
"290225 Arataca";-;3;3
"290230 Aratuípe";1;1;2
"290250 Baianópolis";1;-;1
"290280 Barra da Estiva";3;11;14
"290290 Barra do Choça";-;7;7
"290310 Barra do Rocha";-;1;1
"290320 Barreiras";-;2;2
"290340 Belmonte";-;1;1
"290370 Boa Nova";-;1;1
"290390 Bom Jesus da Lapa";3;1;4
"290405 Bonito";-;2;2
"290470 Buerarema";-;18;18
"290480 Caatiba";-;5;5
"290490 Cachoeira";10;2;12
"290510 Caém";2;-;2
"290520 Caetité";-;1;1
"290540 Cairu";6;-;6
"290550 Caldeirão Grande";-;1;1
"290560 Camacan";-;1;1
"290570 Camaçari";1;1;2
"290580 Camamu";3;46;49
"290630 Canavieiras";-;5;5
"290640 Candeal";-;1;1
"290650 Candeias";1;-;1
"290730 Castro Alves";1;-;1
"290740 Catolândia";1;-;1
"290800 Coaraci";-;6;6
"290810 Cocos";-;14;14
"290860 Conde";1;-;1
"290870 Condeúba";-;1;1
"290880 Contendas do Sincorá";-;3;3
"290910 Coribe";11;3;14
"290930 Correntina";4;-;4
"291000 Dário Meira";-;3;3
"291005 Dias d'Ávila";1;2;3
"291020 Dom Macedo Costa";1;-;1
"291040 Encruzilhada";-;1;1
"291072 Eunápolis";-;1;1
"291077 Feira da Mata";2;-;2
"291080 Feira de Santana";1;1;2
"291085 Filadélfia";-;2;2
"291090 Firmino Alves";1;-;1
"291100 Floresta Azul";-;2;2
"291120 Gandu";37;1;38
"291190 Iaçu";-;1;1
"291210 Ibicaraí";1;1;2
"291220 Ibicoara";8;11;19
"291230 Ibicuí";-;2;2
"291270 Ibirapitanga";8;5;13
"291280 Ibirapuã";-;1;1
"291290 Ibirataia";3;11;14
"291340 Igaporã";-;1;1
"291345 Igrapiúna";1;25;26
"291350 Iguaí";-;4;4
"291360 Ilhéus";2;29;31
"291390 Ipiaú";-;24;24
"291430 Iramaia";-;1;1
"291440 Iraquara";-;5;5
"291460 Irecê";1;-;1
"291470 Itaberaba";2;-;2
"291480 Itabuna";-;8;8
"291490 Itacaré";-;13;13
"291510 Itagi";1;4;5
"291520 Itagibá";-;1;1
"291540 Itaju do Colônia";-;1;1
"291550 Itajuípe";-;1;1
"291560 Itamaraju";-;1;1
"291570 Itamari";-;5;5
"291580 Itambé";1;7;8
"291630 Itapebi";-;2;2
"291640 Itapetinga";1;2;3
"291670 Itaquara";-;1;1
"291680 Itarantim";-;2;2
"291710 Itororó";2;1;3
"291720 Ituaçu";-;1;1
"291730 Ituberá";5;50;55
"291733 Iuiú";-;1;1
"291735 Jaborandi";-;1;1
"291740 Jacaraci";5;2;7
"291750 Jacobina";1;-;1
"291760 Jaguaquara";2;32;34
"291770 Jaguarari";-;1;1
"291780 Jaguaripe";2;-;2
"291800 Jequié";-;21;21
"291820 Jiquiriçá";-;19;19
"291830 Jitaúna";-;6;6
"291835 João Dourado";-;1;1
"291855 Jussari";-;1;1
"291860 Jussiape";-;1;1
"291880 Laje";7;15;22
"291920 Lauro de Freitas";1;-;1
"291930 Lençóis";-;5;5
"291955 Luís Eduardo Magalhães";1;-;1
"291970 Macarani";1;2;3
"291980 Macaúbas";1;-;1
"292000 Maiquinique";2;-;2
"292060 Maragogipe";1;-;1
"292070 Maraú";-;36;36
"292120 Miguel Calmon";1;12;13
"292140 Mirangaba";1;-;1
"292150 Monte Santo";1;-;1
"292170 Morro do Chapéu";1;1;2
"292230 Muritiba";-;1;1
"292240 Mutuípe";4;79;83
"292250 Nazaré";2;1;3
"292260 Nilo Peçanha";38;30;68
"292265 Nordestina";-;2;2
"292270 Nova Canaã";-;2;2
"292275 Nova Ibiá";16;-;16
"292303 Novo Horizonte";-;1;1
"292350 Palmeiras";2;1;3
"292390 Pau Brasil";7;2;9
"292410 Pedrão";-;1;1
"292460 Pindobaçu";-;3;3
"292467 Piraí do Norte";-;14;14
"292500 Planalto";-;4;4
"292510 Poções";-;2;2
"292520 Pojuca";1;3;4
"292530 Porto Seguro";2;7;9
"292575 Presidente Tancredo Neves";75;3;78
"292640 Riacho de Santana";-;1;1
"292665 Ribeirão do Largo";1;1;2
"292690 Rio do Pires";-;1;1
"292700 Rio Real";-;6;6
"292740 Salvador";5;3;8
"292750 Santa Bárbara";1;-;1
"292770 Santa Cruz Cabrália";-;5;5
"292790 Santa Inês";-;3;3
"292805 Santa Luzia";-;6;6
"292810 Santa Maria da Vitória";11;8;19
"292870 Santo Antônio de Jesus";5;2;7
"292910 São Felipe";1;-;1
"292905 São Félix do Coribe";5;5;10
"292920 São Francisco do Conde";2;-;2
"292935 São José da Vitória";-;10;10
"292940 São Miguel das Matas";6;-;6
"293010 Senhor do Bonfim";-;4;4
"293015 Serra do Ramalho";1;2;3
"293030 Serra Dourada";2;2;4
"293075 Sítio do Mato";-;1;1
"293080 Souto Soares";-;1;1
"293120 Taperoá";164;20;184
"293150 Teofilândia";-;1;1
"293160 Teolândia";135;6;141
"293200 Uauá";-;1;1
"293210 Ubaíra";2;26;28
"293230 Ubatã";-;8;8
"293250 Una";1;43;44
"293270 Uruçuca";3;23;26
"293280 Utinga";2;11;13
"293290 Valença";293;6;299
"293320 Vera Cruz";1;-;1
"293330 Vitória da Conquista";3;6;9
"293340 Wagner";-;27;27
"293345 Wanderley";-;1;1
"293350 Wenceslau Guimarães";195;8;203
"Total";1149;953;2102
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
