Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Escolaridade
Período:2018
"Município Resid";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"290035 Adustina";1;-;-;1;-;-;-;-;-;-;-;2
"290060 Aiquara";1;-;-;-;1;-;-;-;-;-;-;2
"290070 Alagoinhas";-;-;1;-;-;1;-;-;-;-;-;2
"290080 Alcobaça";1;-;-;-;-;-;-;-;-;-;-;1
"290090 Almadina";-;1;1;-;-;-;-;-;-;-;-;2
"290100 Amargosa";2;3;1;-;-;-;1;-;-;-;-;7
"290120 Anagé";-;-;-;-;-;1;-;-;-;-;-;1
"290130 Andaraí";1;-;-;-;-;-;-;-;-;-;-;1
"290180 Antônio Gonçalves";1;-;-;-;-;-;-;-;-;-;-;1
"290195 Apuarema";1;-;-;-;2;-;-;-;-;-;-;3
"290205 Araças";2;2;-;-;-;-;-;-;-;-;-;4
"290210 Araci";-;-;-;-;1;-;-;-;-;-;-;1
"290225 Arataca";1;-;1;-;-;-;-;-;-;-;1;3
"290230 Aratuípe";-;-;-;-;1;-;-;-;-;-;1;2
"290250 Baianópolis";1;-;-;-;-;-;-;-;-;-;-;1
"290280 Barra da Estiva";5;1;4;2;1;-;1;-;-;-;-;14
"290290 Barra do Choça";3;-;1;-;1;-;1;1;-;-;-;7
"290310 Barra do Rocha";-;-;1;-;-;-;-;-;-;-;-;1
"290320 Barreiras";-;1;-;-;-;-;-;-;-;-;1;2
"290340 Belmonte";-;-;-;1;-;-;-;-;-;-;-;1
"290370 Boa Nova";-;1;-;-;-;-;-;-;-;-;-;1
"290390 Bom Jesus da Lapa";3;-;1;-;-;-;-;-;-;-;-;4
"290405 Bonito";-;-;1;-;1;-;-;-;-;-;-;2
"290470 Buerarema";6;-;5;1;4;-;-;1;-;-;1;18
"290480 Caatiba";-;2;1;-;2;-;-;-;-;-;-;5
"290490 Cachoeira";8;-;1;1;1;-;-;1;-;-;-;12
"290510 Caém";1;-;1;-;-;-;-;-;-;-;-;2
"290520 Caetité";-;-;-;-;-;-;-;-;1;-;-;1
"290540 Cairu";-;-;1;-;2;-;-;1;-;-;2;6
"290550 Caldeirão Grande";-;1;-;-;-;-;-;-;-;-;-;1
"290560 Camacan";-;-;-;-;-;-;-;1;-;-;-;1
"290570 Camaçari";-;-;-;1;-;-;-;-;1;-;-;2
"290580 Camamu";10;5;10;1;10;-;6;3;-;-;4;49
"290630 Canavieiras";-;1;1;-;2;-;-;1;-;-;-;5
"290640 Candeal";-;-;1;-;-;-;-;-;-;-;-;1
"290650 Candeias";1;-;-;-;-;-;-;-;-;-;-;1
"290730 Castro Alves";-;-;-;-;1;-;-;-;-;-;-;1
"290740 Catolândia";-;-;-;-;-;-;-;1;-;-;-;1
