Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2018
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"290035 Adustina";-;-;-;-;-;-;-;1;1;-;2
"290060 Aiquara";-;-;-;-;-;-;1;1;-;-;2
"290070 Alagoinhas";-;-;-;-;-;1;-;1;-;-;2
"290080 Alcobaça";-;-;-;-;-;1;-;-;-;-;1
"290090 Almadina";-;-;-;-;-;-;-;1;-;1;2
"290100 Amargosa";-;-;1;1;-;2;-;1;-;2;7
"290120 Anagé";-;-;-;-;-;-;1;-;-;-;1
"290130 Andaraí";-;-;-;-;-;-;1;-;-;-;1
"290180 Antônio Gonçalves";-;-;-;1;-;-;-;-;-;-;1
"290195 Apuarema";-;-;-;-;-;1;-;2;-;-;3
"290205 Araças";-;-;-;-;1;-;-;2;-;1;4
"290210 Araci";-;-;-;-;1;-;-;-;-;-;1
"290225 Arataca";-;-;1;-;-;-;1;1;-;-;3
"290230 Aratuípe";-;1;-;-;-;1;-;-;-;-;2
"290250 Baianópolis";-;-;-;-;-;-;-;1;-;-;1
"290280 Barra da Estiva";-;-;-;2;1;-;6;1;4;-;14
"290290 Barra do Choça";-;-;-;1;-;4;1;1;-;-;7
"290310 Barra do Rocha";-;-;-;-;-;-;-;-;1;-;1
"290320 Barreiras";1;-;-;-;-;-;-;-;1;-;2
"290340 Belmonte";-;-;-;-;-;-;1;-;-;-;1
"290370 Boa Nova";-;-;-;-;-;-;-;-;1;-;1
"290390 Bom Jesus da Lapa";-;-;-;1;-;-;1;1;-;1;4
"290405 Bonito";-;-;-;-;-;1;1;-;-;-;2
"290470 Buerarema";1;-;1;-;3;3;5;3;1;1;18
"290480 Caatiba";-;-;1;-;-;1;-;3;-;-;5
"290490 Cachoeira";-;-;-;3;1;1;5;1;1;-;12
"290510 Caém";-;-;-;-;-;-;-;1;1;-;2
"290520 Caetité";-;-;-;-;-;1;-;-;-;-;1
"290540 Cairu";-;2;-;-;-;1;2;1;-;-;6
"290550 Caldeirão Grande";-;-;-;-;-;-;-;1;-;-;1
"290560 Camacan";-;-;-;-;-;-;-;1;-;-;1
"290570 Camaçari";-;-;-;-;-;2;-;-;-;-;2
"290580 Camamu";-;2;5;3;6;12;11;8;2;-;49
"290630 Canavieiras";-;-;-;2;-;1;-;-;2;-;5
"290640 Candeal";-;-;1;-;-;-;-;-;-;-;1
"290650 Candeias";-;-;-;-;-;-;1;-;-;-;1
"290730 Castro Alves";-;-;-;-;1;-;-;-;-;-;1
"290740 Catolândia";-;-;-;-;-;1;-;-;-;-;1
"290800 Coaraci";-;-;-;3;-;1;-;1;1;-;6
"290810 Cocos";-;-;-;1;1;2;5;1;4;-;14
"290860 Conde";-;-;-;-;-;1;-;-;-;-;1
"290870 Condeúba";-;-;-;-;-;-;-;1;-;-;1
