Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2022
"Município Resid";"Ignorado";"Masculino";"Feminino";"Total"
"290020 Abaré";-;-;1;1
"290030 Acajutiba";-;-;1;1
"290080 Alcobaça";-;1;-;1
"290100 Amargosa";-;8;4;12
"290140 Angical";-;-;1;1
"290195 Apuarema";-;1;2;3
"290205 Araças";-;3;2;5
"290225 Arataca";-;1;-;1
"290240 Aurelino Leal";-;1;1;2
"290280 Barra da Estiva";-;7;4;11
"290290 Barra do Choça";-;3;-;3
"290320 Barreiras";-;4;3;7
"290330 Barro Preto";-;2;-;2
"290340 Belmonte";-;1;-;1
"290370 Boa Nova";-;1;-;1
"290390 Bom Jesus da Lapa";-;2;-;2
"290405 Bonito";-;1;-;1
"290470 Buerarema";-;8;5;13
"290490 Cachoeira";-;-;2;2
"290510 Caém";-;-;2;2
"290540 Cairu";-;1;1;2
"290550 Caldeirão Grande";-;1;1;2
"290560 Camacan";-;2;1;3
"290570 Camaçari";-;1;-;1
"290580 Camamu";-;17;9;26
"290630 Canavieiras";-;-;1;1
"290650 Candeias";-;1;-;1
"290660 Candiba";-;-;1;1
"290670 Cândido Sales";-;-;1;1
"290680 Cansanção";-;1;-;1
"290689 Caraíbas";-;1;-;1
"290700 Cardeal da Silva";-;1;-;1
"290710 Carinhanha";-;1;-;1
"290760 Central";-;1;-;1
"290800 Coaraci";-;3;3;6
"290810 Cocos";-;8;6;14
"290870 Condeúba";-;-;2;2
"290880 Contendas do Sincorá";-;1;-;1
"290900 Cordeiros";-;1;-;1
"290910 Coribe";-;3;2;5
"290930 Correntina";-;3;3;6
"290950 Cravolândia";-;2;-;2
"290990 Curaçá";-;-;1;1
"291000 Dário Meira";-;2;1;3
"291005 Dias d'Ávila";-;1;-;1
"291040 Encruzilhada";-;6;1;7
"291072 Eunápolis";-;2;-;2
"291080 Feira de Santana";-;1;-;1
"291120 Gandu";-;18;1;19
"291165 Guajeru";-;1;-;1
"291170 Guanambi";-;1;1;2
"291180 Guaratinga";-;-;1;1
"291210 Ibicaraí";-;-;1;1
"291220 Ibicoara";-;15;3;18
"291270 Ibirapitanga";-;5;2;7
"291290 Ibirataia";-;4;3;7
"291345 Igrapiúna";-;-;1;1
"291350 Iguaí";-;8;3;11
"291360 Ilhéus";-;9;5;14
"291370 Inhambupe";-;1;1;2
"291380 Ipecaetá";-;2;-;2
"291390 Ipiaú";-;2;1;3
"291420 Irajuba";-;1;-;1
"291440 Iraquara";-;3;2;5
"291470 Itaberaba";-;1;-;1
"291490 Itacaré";-;7;-;7
"291500 Itaeté";-;1;-;1
"291520 Itagibá";-;1;-;1
"291550 Itajuípe";-;3;1;4
"291560 Itamaraju";-;3;1;4
"291570 Itamari";-;5;9;14
"291580 Itambé";-;2;2;4
"291640 Itapetinga";-;1;-;1
"291650 Itapicuru";-;1;-;1
"291660 Itapitanga";-;-;1;1
"291690 Itiruçu";-;1;-;1
"291720 Ituaçu";-;3;-;3
"291730 Ituberá";-;5;2;7
"291735 Jaborandi";-;-;1;1
"291740 Jacaraci";-;1;-;1
"291750 Jacobina";-;20;17;37
"291760 Jaguaquara";-;5;2;7
"291780 Jaguaripe";-;1;-;1
"291800 Jequié";-;2;1;3
"291810 Jeremoabo";-;-;1;1
