Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2022
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"290020 Abaré";-;-;-;-;-;1;-;-;-;-;1
"290030 Acajutiba";-;-;-;-;-;-;-;-;1;-;1
"290080 Alcobaça";-;-;-;1;-;-;-;-;-;-;1
"290100 Amargosa";-;-;1;-;3;2;2;2;1;1;12
"290140 Angical";-;-;-;1;-;-;-;-;-;-;1
"290195 Apuarema";-;-;-;1;-;1;-;-;1;-;3
"290205 Araças";-;-;1;1;-;1;1;-;1;-;5
"290225 Arataca";-;-;-;-;-;1;-;-;-;-;1
"290240 Aurelino Leal";-;-;-;-;-;1;-;1;-;-;2
"290280 Barra da Estiva";-;-;-;-;3;3;4;1;-;-;11
"290290 Barra do Choça";-;-;-;-;-;-;-;1;2;-;3
"290320 Barreiras";-;-;-;-;-;-;2;2;3;-;7
"290330 Barro Preto";-;-;-;-;-;1;-;-;-;1;2
"290340 Belmonte";-;-;-;-;-;-;-;-;1;-;1
"290370 Boa Nova";-;-;-;-;-;-;-;1;-;-;1
"290390 Bom Jesus da Lapa";-;-;-;-;-;-;1;1;-;-;2
"290405 Bonito";-;-;-;-;-;1;-;-;-;-;1
"290470 Buerarema";-;-;-;1;1;3;4;3;1;-;13
"290490 Cachoeira";-;-;1;-;-;-;1;-;-;-;2
"290510 Caém";-;-;-;-;-;-;2;-;-;-;2
"290540 Cairu";-;-;-;-;1;1;-;-;-;-;2
"290550 Caldeirão Grande";-;-;-;-;-;-;1;1;-;-;2
"290560 Camacan";-;-;-;-;-;1;1;-;-;1;3
"290570 Camaçari";-;-;-;-;-;1;-;-;-;-;1
"290580 Camamu";-;-;1;-;4;11;3;4;2;1;26
"290630 Canavieiras";-;-;-;-;-;-;-;-;1;-;1
"290650 Candeias";-;-;-;-;-;1;-;-;-;-;1
"290660 Candiba";1;-;-;-;-;-;-;-;-;-;1
"290670 Cândido Sales";-;-;-;-;-;-;-;1;-;-;1
"290680 Cansanção";-;-;-;-;-;1;-;-;-;-;1
"290689 Caraíbas";-;-;-;-;-;-;-;1;-;-;1
"290700 Cardeal da Silva";-;-;-;-;-;-;-;1;-;-;1
"290710 Carinhanha";-;-;-;-;-;-;-;-;-;1;1
"290760 Central";1;-;-;-;-;-;-;-;-;-;1
"290800 Coaraci";-;-;-;-;-;3;1;-;2;-;6
"290810 Cocos";-;-;-;2;-;4;5;1;2;-;14
"290870 Condeúba";-;-;-;-;-;1;-;-;1;-;2
"290880 Contendas do Sincorá";-;-;-;-;-;-;-;1;-;-;1
"290900 Cordeiros";-;-;-;-;-;-;-;1;-;-;1
"290910 Coribe";-;-;-;-;-;1;1;2;1;-;5
"290930 Correntina";-;-;-;-;-;-;1;2;3;-;6
"290950 Cravolândia";-;-;-;-;-;-;-;-;1;1;2
"290990 Curaçá";-;-;-;-;-;-;-;1;-;-;1
"291000 Dário Meira";-;-;-;-;-;1;-;-;2;-;3
"291005 Dias d'Ávila";-;-;-;-;-;-;1;-;-;-;1
"291040 Encruzilhada";-;-;-;-;-;-;1;1;4;1;7
"291072 Eunápolis";-;-;-;-;-;-;1;-;1;-;2
