Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2020
"Município Resid";"Ignorado";"Masculino";"Feminino";"Total"
"290020 Abaré";-;1;-;1
"290030 Acajutiba";-;1;-;1
"290060 Aiquara";-;1;1;2
"290070 Alagoinhas";-;1;-;1
"290080 Alcobaça";-;1;-;1
"290100 Amargosa";-;3;1;4
"290130 Andaraí";-;3;1;4
"290180 Antônio Gonçalves";-;-;2;2
"290195 Apuarema";-;1;1;2
"290225 Arataca";-;1;1;2
"290230 Aratuípe";-;1;-;1
"290240 Aurelino Leal";-;1;-;1
"290260 Baixa Grande";-;-;1;1
"290280 Barra da Estiva";-;15;10;25
"290290 Barra do Choça";-;5;8;13
"290320 Barreiras";-;5;2;7
"290330 Barro Preto";-;-;1;1
"290370 Boa Nova";-;-;1;1
"290390 Bom Jesus da Lapa";-;1;-;1
"290395 Bom Jesus da Serra";-;1;-;1
"290400 Boninal";-;1;1;2
"290405 Bonito";-;3;1;4
"290430 Brejões";-;-;2;2
"290470 Buerarema";-;8;7;15
"290480 Caatiba";-;-;3;3
"290485 Cabaceiras do Paraguaçu";-;-;1;1
"290490 Cachoeira";-;1;-;1
"290500 Caculé";-;1;1;2
"290510 Caém";-;1;2;3
"290530 Cafarnaum";-;-;1;1
"290540 Cairu";-;1;1;2
"290560 Camacan";-;1;2;3
"290570 Camaçari";-;2;1;3
"290580 Camamu";-;48;17;65
"290600 Campo Formoso";-;1;1;2
"290630 Canavieiras";-;4;1;5
"290650 Candeias";-;1;-;1
"290680 Cansanção";-;-;1;1
"290800 Coaraci";-;3;3;6
"290810 Cocos";-;7;5;12
"290840 Conceição do Coité";-;-;1;1
"290870 Condeúba";-;2;-;2
"290900 Cordeiros";-;-;1;1
"290910 Coribe";-;20;10;30
"290930 Correntina";-;5;8;13
"290950 Cravolândia";-;1;-;1
"290990 Curaçá";-;-;2;2
"291000 Dário Meira";-;7;2;9
"291005 Dias d'Ávila";-;-;1;1
"291050 Entre Rios";-;-;2;2
"291072 Eunápolis";-;3;-;3
"291077 Feira da Mata";-;1;2;3
"291080 Feira de Santana";-;1;-;1
"291100 Floresta Azul";-;1;-;1
"291120 Gandu";-;11;9;20
"291150 Gongogi";-;-;1;1
"291170 Guanambi";-;1;2;3
"291180 Guaratinga";-;2;-;2
"291210 Ibicaraí";-;-;1;1
"291220 Ibicoara";-;12;12;24
"291230 Ibicuí";-;2;-;2
"291270 Ibirapitanga";-;8;4;12
"291290 Ibirataia";-;-;2;2
"291310 Ibititá";-;-;1;1
"291345 Igrapiúna";-;5;9;14
"291350 Iguaí";-;4;6;10
"291360 Ilhéus";-;14;8;22
"291370 Inhambupe";-;1;-;1
"291390 Ipiaú";-;6;4;10
"291440 Iraquara";-;1;1;2
"291450 Irará";-;1;1;2
"291465 Itabela";-;-;1;1
"291480 Itabuna";-;1;-;1
"291490 Itacaré";-;4;5;9
"291510 Itagi";-;1;-;1
"291520 Itagibá";-;1;-;1
"291540 Itaju do Colônia";-;1;-;1
"291550 Itajuípe";-;1;1;2
"291560 Itamaraju";-;1;1;2
"291570 Itamari";-;9;4;13
"291580 Itambé";-;2;-;2
"291640 Itapetinga";-;1;1;2
"291660 Itapitanga";-;-;1;1
"291670 Itaquara";-;2;1;3
"291685 Itatim";-;1;-;1
