Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2020
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"290020 Abaré";-;-;1;-;-;-;-;-;-;-;1
"290030 Acajutiba";-;-;-;-;-;-;-;-;1;-;1
"290060 Aiquara";-;1;1;-;-;-;-;-;-;-;2
"290070 Alagoinhas";-;-;-;-;-;-;-;-;1;-;1
"290080 Alcobaça";-;-;-;-;-;1;-;-;-;-;1
"290100 Amargosa";-;-;-;1;-;-;2;-;1;-;4
"290130 Andaraí";-;-;-;-;-;2;1;-;-;1;4
"290180 Antônio Gonçalves";-;1;-;-;-;1;-;-;-;-;2
"290195 Apuarema";-;-;-;-;-;1;1;-;-;-;2
"290225 Arataca";-;-;-;-;-;2;-;-;-;-;2
"290230 Aratuípe";-;-;-;-;-;1;-;-;-;-;1
"290240 Aurelino Leal";-;-;-;-;-;-;1;-;-;-;1
"290260 Baixa Grande";-;-;-;-;-;-;1;-;-;-;1
"290280 Barra da Estiva";1;1;2;1;1;3;8;6;2;-;25
"290290 Barra do Choça";-;-;-;-;3;1;2;3;2;2;13
"290320 Barreiras";-;1;-;-;-;-;6;-;-;-;7
"290330 Barro Preto";-;-;-;-;-;-;-;1;-;-;1
"290370 Boa Nova";-;-;-;-;-;-;-;-;-;1;1
"290390 Bom Jesus da Lapa";-;-;-;-;-;-;-;-;1;-;1
"290395 Bom Jesus da Serra";-;-;-;-;-;-;-;-;1;-;1
"290400 Boninal";-;-;-;-;-;-;1;1;-;-;2
"290405 Bonito";-;-;-;-;-;3;-;-;1;-;4
"290430 Brejões";-;-;-;2;-;-;-;-;-;-;2
"290470 Buerarema";2;1;2;2;1;1;3;3;-;-;15
"290480 Caatiba";-;-;-;-;1;-;-;2;-;-;3
"290485 Cabaceiras do Paraguaçu";-;-;-;-;-;1;-;-;-;-;1
"290490 Cachoeira";-;-;-;-;-;-;-;1;-;-;1
"290500 Caculé";-;-;-;-;-;1;-;1;-;-;2
"290510 Caém";-;-;-;-;-;-;1;-;2;-;3
"290530 Cafarnaum";-;-;-;-;-;-;1;-;-;-;1
"290540 Cairu";-;-;-;1;-;-;1;-;-;-;2
"290560 Camacan";-;-;-;-;-;1;-;2;-;-;3
"290570 Camaçari";-;-;-;-;-;2;-;-;1;-;3
"290580 Camamu";1;1;5;5;10;12;16;11;3;1;65
"290600 Campo Formoso";-;-;-;-;-;-;1;-;1;-;2
"290630 Canavieiras";-;-;1;-;1;-;-;2;1;-;5
"290650 Candeias";-;-;-;-;-;1;-;-;-;-;1
"290680 Cansanção";-;-;-;-;-;-;1;-;-;-;1
"290800 Coaraci";-;1;-;-;-;-;1;3;1;-;6
"290810 Cocos";1;-;-;-;1;3;1;3;3;-;12
"290840 Conceição do Coité";-;-;-;-;-;-;-;-;1;-;1
"290870 Condeúba";-;-;-;-;-;1;-;1;-;-;2
"290900 Cordeiros";-;-;-;-;-;1;-;-;-;-;1
"290910 Coribe";-;1;1;-;4;4;8;9;3;-;30
"290930 Correntina";-;-;-;1;-;3;3;5;1;-;13
"290950 Cravolândia";-;-;-;-;1;-;-;-;-;-;1
"290990 Curaçá";1;-;-;-;-;-;1;-;-;-;2
