Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2020
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"290020 Abaré";-;-;1;-;1
"290030 Acajutiba";-;-;1;-;1
"290060 Aiquara";-;1;-;1;2
"290070 Alagoinhas";-;1;-;-;1
"290080 Alcobaça";-;-;-;1;1
"290100 Amargosa";-;1;-;3;4
"290130 Andaraí";1;-;-;3;4
"290180 Antônio Gonçalves";2;-;-;-;2
"290195 Apuarema";1;-;1;-;2
"290225 Arataca";1;-;1;-;2
"290230 Aratuípe";-;-;-;1;1
"290240 Aurelino Leal";-;-;-;1;1
"290260 Baixa Grande";-;1;-;-;1
"290280 Barra da Estiva";12;8;3;2;25
"290290 Barra do Choça";1;5;7;-;13
"290320 Barreiras";2;3;-;2;7
"290330 Barro Preto";-;1;-;-;1
"290370 Boa Nova";-;1;-;-;1
"290390 Bom Jesus da Lapa";-;1;-;-;1
"290395 Bom Jesus da Serra";1;-;-;-;1
"290400 Boninal";2;-;-;-;2
"290405 Bonito";3;1;-;-;4
"290430 Brejões";1;-;1;-;2
"290470 Buerarema";4;3;3;5;15
"290480 Caatiba";1;1;-;1;3
"290485 Cabaceiras do Paraguaçu";-;-;-;1;1
"290490 Cachoeira";1;-;-;-;1
"290500 Caculé";-;1;-;1;2
"290510 Caém";1;-;-;2;3
"290530 Cafarnaum";1;-;-;-;1
"290540 Cairu";1;-;-;1;2
"290560 Camacan";-;-;-;3;3
"290570 Camaçari";-;1;1;1;3
"290580 Camamu";20;25;14;6;65
"290600 Campo Formoso";1;-;1;-;2
"290630 Canavieiras";2;2;1;-;5
"290650 Candeias";-;-;-;1;1
"290680 Cansanção";-;-;1;-;1
"290800 Coaraci";2;2;1;1;6
"290810 Cocos";4;2;3;3;12
"290840 Conceição do Coité";1;-;-;-;1
"290870 Condeúba";-;-;1;1;2
"290900 Cordeiros";-;1;-;-;1
"290910 Coribe";12;2;5;11;30
"290930 Correntina";-;2;4;7;13
"290950 Cravolândia";-;1;-;-;1
"290990 Curaçá";-;-;2;-;2
"291000 Dário Meira";2;1;2;4;9
"291005 Dias d'Ávila";-;-;-;1;1
"291050 Entre Rios";-;2;-;-;2
"291072 Eunápolis";2;1;-;-;3
"291077 Feira da Mata";1;2;-;-;3
"291080 Feira de Santana";-;1;-;-;1
"291100 Floresta Azul";-;1;-;-;1
"291120 Gandu";4;5;4;7;20
"291150 Gongogi";1;-;-;-;1
"291170 Guanambi";2;1;-;-;3
"291180 Guaratinga";-;1;1;-;2
"291210 Ibicaraí";-;-;-;1;1
"291220 Ibicoara";11;7;3;3;24
"291230 Ibicuí";1;1;-;-;2
"291270 Ibirapitanga";4;2;5;1;12
"291290 Ibirataia";1;-;1;-;2
"291310 Ibititá";1;-;-;-;1
"291345 Igrapiúna";2;4;6;2;14
"291350 Iguaí";3;3;3;1;10
"291360 Ilhéus";6;4;5;7;22
"291370 Inhambupe";-;-;1;-;1
"291390 Ipiaú";1;5;3;1;10
"291440 Iraquara";-;-;1;1;2
"291450 Irará";2;-;-;-;2
"291465 Itabela";-;-;1;-;1
"291480 Itabuna";1;-;-;-;1
"291490 Itacaré";2;3;2;2;9
"291510 Itagi";-;1;-;-;1
