Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Macrorregião Ocorr
Período:2023
"Município Resid";"Centro-Leste";"Centro-Norte";"Extremo Sul";"Leste";"Nordeste";"Norte";"Oeste";"Sudoeste";"Sul";"Total"
"290030 Acajutiba";-;-;-;1;-;-;-;-;-;1
"290035 Adustina";-;-;-;1;-;-;-;-;-;1
"290070 Alagoinhas";-;-;-;2;-;-;-;-;-;2
"290115 América Dourada";-;4;-;-;-;-;-;-;-;4
"290130 Andaraí";1;-;-;-;-;-;-;-;-;1
"290150 Anguera";1;-;-;-;-;-;-;-;-;1
"290170 Antônio Cardoso";3;-;-;1;-;-;-;-;-;4
"290205 Araças";-;-;-;1;-;-;-;-;-;1
"290200 Aracatu";-;-;-;1;-;-;-;1;-;2
"290210 Araci";1;-;-;1;-;-;-;-;-;2
"290260 Baixa Grande";1;-;-;2;-;-;-;-;-;3
"290270 Barra";-;-;-;1;-;-;2;-;-;3
"290300 Barra do Mendes";-;1;-;-;-;-;-;-;-;1
"290320 Barreiras";-;-;-;-;-;-;1;-;-;1
"290323 Barro Alto";-;2;-;-;-;-;-;-;-;2
"290327 Barrocas";1;-;-;-;-;-;-;-;-;1
"290360 Biritinga";2;-;-;-;-;-;-;-;-;2
"290370 Boa Nova";-;-;-;-;-;-;-;-;2;2
"290380 Boa Vista do Tupim";1;-;-;-;-;-;-;-;-;1
"290390 Bom Jesus da Lapa";-;-;-;-;-;-;2;-;-;2
"290410 Boquira";-;-;-;1;-;-;-;1;-;2
"290420 Botuporã";-;-;-;-;-;-;-;1;-;1
"290450 Brotas de Macaúbas";-;-;-;-;-;-;2;-;-;2
"290460 Brumado";-;-;-;1;-;-;-;3;-;4
"290475 Buritirama";-;-;-;-;-;-;2;-;-;2
"290510 Caém";-;1;-;-;-;-;-;-;-;1
"290520 Caetité";-;-;-;1;-;-;-;-;-;1
"290530 Cafarnaum";-;4;-;-;-;-;-;-;-;4
"290550 Caldeirão Grande";-;1;-;1;-;-;-;-;-;2
"290570 Camaçari";-;-;-;3;-;-;-;-;-;3
"290590 Campo Alegre de Lourdes";-;-;-;-;-;4;-;-;-;4
"290600 Campo Formoso";1;-;-;-;-;2;-;-;-;3
"290640 Candeal";1;-;-;-;-;-;-;-;-;1
"290650 Candeias";-;-;-;1;-;-;-;-;-;1
"290689 Caraíbas";-;-;-;-;-;-;-;1;-;1
"290700 Cardeal da Silva";1;-;-;-;-;-;-;-;-;1
"290710 Carinhanha";-;-;-;-;-;-;-;5;-;5
"290720 Casa Nova";-;-;-;-;-;3;-;-;-;3
"290750 Catu";1;-;-;1;-;-;-;-;-;2
"290760 Central";-;2;-;-;-;-;-;-;-;2
"290790 Cipó";-;-;-;1;-;-;-;-;-;1
"290810 Cocos";-;-;-;-;-;-;1;-;-;1
"290860 Conde";-;-;-;1;-;-;-;-;-;1
"290880 Contendas do Sincorá";-;-;-;-;-;-;-;3;-;3
"290890 Coração de Maria";1;-;-;-;-;-;-;-;-;1
"290940 Cotegipe";-;-;-;-;-;-;1;-;-;1
"291005 Dias d'Ávila";-;-;-;1;-;-;-;-;-;1
"291040 Encruzilhada";-;-;-;1;-;-;-;-;-;1
"291050 Entre Rios";1;-;-;1;1;-;-;-;-;3
"291060 Esplanada";-;-;-;2;-;-;-;-;-;2
"291070 Euclides da Cunha";1;-;-;1;-;-;-;-;-;2
"291072 Eunápolis";-;-;-;1;-;-;-;-;-;1
"291080 Feira de Santana";15;-;-;1;-;-;-;-;-;16
"291085 Filadélfia";-;-;-;-;-;1;-;-;-;1
"291100 Floresta Azul";-;-;-;-;-;-;-;-;1;1
"291110 Formosa do Rio Preto";-;-;-;-;-;-;1;-;-;1
"291170 Guanambi";-;-;-;1;-;-;-;2;-;3
"291220 Ibicoara";-;-;-;-;-;-;-;1;-;1
"291250 Ibipitanga";-;-;-;-;-;-;-;1;-;1
"291260 Ibiquera";1;-;-;-;-;-;-;-;-;1
"291310 Ibititá";-;2;-;-;-;-;-;-;-;2
"291350 Iguaí";-;-;-;-;-;-;-;1;-;1
"291360 Ilhéus";-;-;-;-;-;-;-;-;4;4
"291370 Inhambupe";-;-;-;2;-;-;-;-;-;2
"291390 Ipiaú";-;-;-;-;-;-;-;-;1;1
"291410 Ipupiara";-;-;-;-;-;-;3;-;-;3
"291430 Iramaia";-;-;-;-;-;-;-;-;2;2
"291440 Iraquara";3;-;-;3;-;-;-;-;-;6
"291450 Irará";1;-;-;-;-;-;-;-;-;1
"291460 Irecê";-;5;-;1;-;-;-;-;-;6
"291470 Itaberaba";2;-;-;-;-;-;-;-;-;2
"291480 Itabuna";-;-;-;-;-;-;-;-;2;2
"291490 Itacaré";-;-;-;-;-;-;-;-;1;1
"291535 Itaguaçu da Bahia";1;2;-;-;-;-;-;-;-;3
"291560 Itamaraju";-;-;1;-;-;-;-;-;-;1
"291650 Itapicuru";-;-;-;-;2;-;-;-;-;2
"291670 Itaquara";-;-;-;-;-;-;-;-;1;1
"291685 Itatim";-;-;-;1;-;-;-;-;-;1
"291700 Itiúba";-;-;-;-;-;2;-;-;-;2
"291720 Ituaçu";-;-;-;-;-;-;-;1;-;1
"291733 Iuiú";-;-;-;-;-;-;-;9;-;9
"291740 Jacaraci";-;-;-;-;-;-;-;1;-;1
"291760 Jaguaquara";-;-;-;1;-;-;-;-;-;1
"291770 Jaguarari";-;-;-;-;-;2;-;-;-;2
"291800 Jequié";-;-;-;2;-;-;-;-;-;2
"291820 Jiquiriçá";1;-;-;-;-;-;-;-;-;1
"291835 João Dourado";-;1;-;-;-;-;-;-;-;1
"291840 Juazeiro";-;-;-;-;-;29;-;-;-;29
"291850 Jussara";-;17;-;-;-;-;-;-;-;17
"291880 Laje";-;-;-;1;-;-;-;-;-;1
"291905 Lajedo do Tabocal";-;-;-;-;-;-;-;-;1;1
"291915 Lapão";-;2;-;-;-;-;-;-;-;2
"291920 Lauro de Freitas";-;-;-;4;-;-;-;-;-;4
"291950 Livramento de Nossa Senhora";-;-;-;-;-;-;-;2;-;2
"291970 Macarani";-;-;-;-;-;-;-;1;-;1
"292010 Mairi";1;1;-;-;-;-;-;-;-;2
"292020 Malhada";-;-;-;-;-;-;-;2;-;2
"292040 Manoel Vitorino";-;-;-;-;-;-;-;-;1;1
"292045 Mansidão";-;-;-;-;-;-;1;-;-;1
"292050 Maracás";-;-;-;-;-;-;-;-;1;1
"292060 Maragogipe";1;-;-;-;-;-;-;-;-;1
"292080 Marcionílio Souza";1;-;-;-;-;-;-;-;-;1
"292100 Mata de São João";-;-;-;1;-;-;-;-;-;1
"292110 Medeiros Neto";-;-;1;-;-;-;-;-;-;1
"292120 Miguel Calmon";-;1;-;-;-;-;-;-;-;1
"292140 Mirangaba";-;1;-;1;-;-;-;-;-;2
"292150 Monte Santo";1;-;-;1;-;-;-;-;-;2
"292160 Morpará";-;-;-;-;-;-;1;-;-;1
"292170 Morro do Chapéu";-;1;-;1;-;-;-;-;-;2
"292190 Mucugê";2;-;-;-;-;-;-;-;-;2
"292205 Mulungu do Morro";1;1;-;1;-;-;-;-;-;3
"292210 Mundo Novo";-;-;-;1;-;-;-;-;-;1
"292220 Muniz Ferreira";-;-;-;1;-;-;-;-;-;1
"292265 Nordestina";-;-;-;1;-;-;-;-;-;1
"292273 Nova Fátima";-;-;-;1;-;-;-;-;-;1
"292303 Novo Horizonte";1;-;-;2;-;-;-;-;-;3
"292340 Palmas de Monte Alto";-;-;-;-;-;-;-;3;-;3
"292370 Paratinga";-;-;-;-;-;-;1;-;-;1
"292430 Piatã";1;-;-;-;-;-;-;-;-;1
"292450 Pindaí";-;-;-;-;-;-;-;1;-;1
"292460 Pindobaçu";-;-;-;-;-;1;-;-;-;1
"292525 Ponto Novo";-;-;-;-;-;2;-;-;-;2
"292560 Presidente Dutra";-;1;-;-;-;-;-;-;-;1
"292580 Queimadas";-;-;-;1;-;-;-;-;-;1
"292590 Quijingue";1;-;-;-;-;-;-;-;-;1
"292593 Quixabeira";-;1;-;-;-;-;-;-;-;1
"292595 Rafael Jambeiro";1;-;-;-;-;-;-;-;-;1
"292600 Remanso";-;-;-;-;-;1;-;-;-;1
"292620 Riachão das Neves";-;-;-;1;-;-;-;-;-;1
"292630 Riachão do Jacuípe";-;-;-;1;-;-;-;-;-;1
"292650 Ribeira do Amparo";-;-;-;-;1;-;-;-;-;1
"292660 Ribeira do Pombal";-;-;-;-;2;-;-;-;-;2
"292700 Rio Real";-;-;-;1;-;-;-;-;-;1
"292720 Ruy Barbosa";-;-;-;1;-;-;-;-;-;1
"292730 Salinas da Margarida";-;-;-;3;-;-;-;-;-;3
"292740 Salvador";-;-;-;19;-;-;-;-;-;19
"292750 Santa Bárbara";1;-;-;1;-;-;-;-;-;2
"292810 Santa Maria da Vitória";-;-;-;2;-;-;-;-;-;2
"292840 Santa Rita de Cássia";-;-;-;-;-;-;3;-;-;3
"292800 Santaluz";1;-;-;-;-;-;-;-;-;1
"292820 Santana";-;-;-;1;-;-;4;-;-;5
"292860 Santo Amaro";-;-;-;1;-;-;-;-;-;1
"292880 Santo Estêvão";1;-;-;-;-;-;-;-;-;1
"292920 São Francisco do Conde";-;-;-;2;-;-;-;-;-;2
"292925 São Gabriel";-;4;-;-;-;-;-;-;-;4
"292930 São Gonçalo dos Campos";1;-;-;-;-;-;-;-;-;1
"292990 Seabra";1;-;-;-;-;-;-;-;-;1
"293010 Senhor do Bonfim";-;-;-;-;-;1;-;-;-;1
"293020 Sento Sé";-;-;-;-;-;1;-;-;-;1
"293030 Serra Dourada";-;-;-;-;-;-;2;-;-;2
"293050 Serrinha";-;-;-;1;-;-;-;-;-;1
"293060 Serrolândia";-;1;-;-;-;-;-;-;-;1
"293070 Simões Filho";-;-;-;2;-;-;-;-;-;2
"293075 Sítio do Mato";-;-;-;1;-;-;4;-;-;5
"293080 Souto Soares";3;-;-;-;-;-;-;-;-;3
"293090 Tabocas do Brejo Velho";-;-;-;1;-;-;-;-;-;1
"293105 Tanque Novo";1;-;-;-;-;-;-;1;-;2
"293110 Tanquinho";2;-;-;-;-;-;-;-;-;2
"293120 Taperoá";-;-;-;1;-;-;-;-;-;1
"293130 Tapiramutá";-;1;-;1;-;-;-;-;-;2
"293160 Teolândia";1;-;-;-;-;-;-;-;-;1
"293170 Terra Nova";1;-;-;-;-;-;-;-;-;1
"293190 Tucano";1;-;-;-;-;-;-;-;-;1
"293210 Ubaíra";-;-;-;1;-;-;-;-;-;1
"293220 Ubaitaba";-;-;-;-;-;-;-;-;1;1
"293240 Uibaí";-;2;-;-;-;-;-;-;-;2
"293270 Uruçuca";-;-;-;-;-;-;-;-;1;1
"293320 Vera Cruz";-;-;-;1;-;-;-;-;-;1
"293340 Wagner";-;-;-;1;-;-;-;-;-;1
"293360 Xique-Xique";-;3;-;2;-;-;-;-;-;5
"Total";67;62;2;103;6;49;31;41;19;380
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
