Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2023
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"290030 Acajutiba";-;-;-;1;-;1;-;-;1;-;3
"290070 Alagoinhas";-;-;-;-;1;-;2;-;-;-;3
"290090 Almadina";-;-;-;-;-;1;-;-;-;-;1
"290100 Amargosa";-;1;1;2;-;3;6;3;2;-;18
"290110 Amélia Rodrigues";-;-;-;-;1;-;-;-;-;-;1
"290130 Andaraí";-;-;-;-;-;-;-;1;-;-;1
"290180 Antônio Gonçalves";-;-;-;-;1;-;-;-;-;-;1
"290195 Apuarema";-;-;-;-;-;-;1;-;2;-;3
"290205 Araças";-;-;-;-;-;2;-;1;1;-;4
"290250 Baianópolis";-;-;-;-;-;-;1;-;-;-;1
"290280 Barra da Estiva";-;-;1;-;-;1;6;1;2;-;11
"290290 Barra do Choça";-;-;-;-;-;-;2;3;-;1;6
"290320 Barreiras";-;-;-;-;-;1;-;1;1;2;5
"290323 Barro Alto";-;-;-;-;-;1;-;-;-;-;1
"290330 Barro Preto";-;-;-;-;-;-;1;-;-;-;1
"290327 Barrocas";-;-;-;-;-;1;-;-;-;-;1
"290360 Biritinga";-;-;-;-;-;-;1;-;-;-;1
"290370 Boa Nova";-;-;-;-;-;-;-;1;-;-;1
"290380 Boa Vista do Tupim";-;-;-;-;-;-;-;-;1;-;1
"290395 Bom Jesus da Serra";-;-;-;-;1;-;-;2;1;-;4
"290405 Bonito";-;-;-;-;-;-;1;-;-;-;1
"290410 Boquira";-;-;-;-;-;-;-;-;-;1;1
"290420 Botuporã";-;-;-;-;-;-;-;-;1;-;1
"290440 Brejolândia";-;-;-;-;-;1;-;1;-;-;2
"290450 Brotas de Macaúbas";-;-;-;-;-;-;-;-;-;1;1
"290470 Buerarema";-;-;-;-;-;1;3;3;2;-;9
"290510 Caém";-;-;-;5;-;4;7;1;1;-;18
"290515 Caetanos";-;-;-;-;-;1;-;-;1;-;2
"290520 Caetité";-;-;-;-;-;1;-;1;-;-;2
"290540 Cairu";-;-;-;-;-;-;1;-;-;-;1
"290560 Camacan";-;-;-;-;-;-;-;-;1;-;1
"290570 Camaçari";-;-;-;-;-;-;2;-;-;-;2
"290580 Camamu";-;-;-;-;1;3;3;1;3;-;11
"290600 Campo Formoso";-;-;-;-;-;-;1;1;2;-;4
"290630 Canavieiras";-;-;-;-;-;-;1;1;-;-;2
"290670 Cândido Sales";-;-;-;-;-;-;-;1;-;-;1
"290680 Cansanção";-;-;-;-;-;1;-;-;-;-;1
"290687 Capim Grosso";1;-;-;-;-;-;-;-;-;-;1
"290710 Carinhanha";-;-;-;-;-;-;1;-;-;-;1
"290730 Castro Alves";-;-;-;-;-;-;2;-;-;-;2
"290740 Catolândia";-;-;-;-;-;-;-;-;1;-;1
"290750 Catu";-;-;-;-;1;-;-;1;-;-;2
"290800 Coaraci";-;-;-;-;1;1;1;1;2;-;6
"290810 Cocos";-;1;-;1;1;5;5;4;2;-;19
"290870 Condeúba";-;-;1;-;2;1;5;-;1;-;10
"290890 Coração de Maria";-;-;-;-;1;-;-;-;-;-;1
"290900 Cordeiros";-;-;-;-;-;1;-;1;-;-;2
"290910 Coribe";-;-;-;2;-;1;4;1;-;-;8
"290930 Correntina";-;-;-;-;-;-;-;3;-;1;4
"290940 Cotegipe";1;-;-;-;-;-;1;-;-;-;2
"290960 Crisópolis";-;-;-;-;-;-;-;1;-;-;1
"291000 Dário Meira";-;-;-;-;-;1;1;-;-;-;2
"291030 Elísio Medrado";-;-;-;-;-;1;-;-;-;-;1
"291040 Encruzilhada";-;-;-;-;-;-;2;-;2;-;4
"291060 Esplanada";-;-;-;-;-;-;-;-;1;-;1
"291072 Eunápolis";-;-;-;-;1;3;1;-;2;1;8
"291080 Feira de Santana";-;-;1;1;-;-;-;-;-;-;2
"291085 Filadélfia";-;-;-;-;-;-;-;-;1;-;1
"291090 Firmino Alves";-;-;-;-;1;-;-;-;-;-;1
