Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Evolução do caso
Período:2023
"Município Resid";"Ign/Branco";"Cura";"Abandono";"Óbito por outra causa";"Tranferência";"Mudança de Diagnóstico";"Total"
"290030 Acajutiba";3;-;-;-;-;-;3
"290070 Alagoinhas";3;-;-;-;-;-;3
"290090 Almadina";-;1;-;-;-;-;1
"290100 Amargosa";2;14;-;-;2;-;18
"290110 Amélia Rodrigues";-;-;-;-;-;1;1
"290130 Andaraí";1;-;-;-;-;-;1
"290180 Antônio Gonçalves";1;-;-;-;-;-;1
"290195 Apuarema";2;1;-;-;-;-;3
"290205 Araças";4;-;-;-;-;-;4
"290250 Baianópolis";1;-;-;-;-;-;1
"290280 Barra da Estiva";3;8;-;-;-;-;11
"290290 Barra do Choça";2;3;-;-;-;1;6
"290320 Barreiras";1;4;-;-;-;-;5
"290323 Barro Alto";1;-;-;-;-;-;1
"290330 Barro Preto";1;-;-;-;-;-;1
"290327 Barrocas";-;-;-;-;-;1;1
"290360 Biritinga";1;-;-;-;-;-;1
"290370 Boa Nova";-;1;-;-;-;-;1
"290380 Boa Vista do Tupim";1;-;-;-;-;-;1
"290395 Bom Jesus da Serra";-;-;-;-;-;4;4
"290405 Bonito";-;1;-;-;-;-;1
"290410 Boquira";-;-;-;1;-;-;1
"290420 Botuporã";-;1;-;-;-;-;1
"290440 Brejolândia";2;-;-;-;-;-;2
"290450 Brotas de Macaúbas";-;-;-;1;-;-;1
"290470 Buerarema";2;7;-;-;-;-;9
"290510 Caém";9;8;1;-;-;-;18
"290515 Caetanos";-;1;-;-;-;1;2
"290520 Caetité";1;-;-;-;-;1;2
"290540 Cairu";-;1;-;-;-;-;1
"290560 Camacan";-;1;-;-;-;-;1
"290570 Camaçari";1;1;-;-;-;-;2
"290580 Camamu";10;1;-;-;-;-;11
"290600 Campo Formoso";-;3;-;-;-;1;4
"290630 Canavieiras";-;2;-;-;-;-;2
"290670 Cândido Sales";1;-;-;-;-;-;1
"290680 Cansanção";1;-;-;-;-;-;1
"290687 Capim Grosso";-;1;-;-;-;-;1
"290710 Carinhanha";-;1;-;-;-;-;1
"290730 Castro Alves";1;1;-;-;-;-;2
"290740 Catolândia";1;-;-;-;-;-;1
"290750 Catu";-;2;-;-;-;-;2
"290800 Coaraci";-;5;1;-;-;-;6
"290810 Cocos";19;-;-;-;-;-;19
"290870 Condeúba";8;2;-;-;-;-;10
"290890 Coração de Maria";1;-;-;-;-;-;1
"290900 Cordeiros";1;1;-;-;-;-;2
"290910 Coribe";-;7;-;-;-;1;8
"290930 Correntina";2;2;-;-;-;-;4
"290940 Cotegipe";-;2;-;-;-;-;2
"290960 Crisópolis";-;-;-;-;-;1;1
"291000 Dário Meira";1;-;-;-;-;1;2
"291030 Elísio Medrado";1;-;-;-;-;-;1
"291040 Encruzilhada";4;-;-;-;-;-;4
"291060 Esplanada";1;-;-;-;-;-;1
"291072 Eunápolis";1;5;1;1;-;-;8
"291080 Feira de Santana";-;2;-;-;-;-;2
"291085 Filadélfia";1;-;-;-;-;-;1
"291090 Firmino Alves";1;-;-;-;-;-;1
"291110 Formosa do Rio Preto";2;-;-;-;-;1;3
"291120 Gandu";6;7;-;-;1;-;14
"291130 Gentio do Ouro";2;-;-;-;-;-;2
"291160 Governador Mangabeira";1;-;-;-;-;-;1
"291180 Guaratinga";3;-;-;-;-;-;3
"291200 Ibiassucê";-;1;-;-;-;-;1
"291210 Ibicaraí";-;1;-;-;-;-;1
"291220 Ibicoara";-;14;2;-;-;5;21
"291230 Ibicuí";1;-;-;-;-;-;1
"291270 Ibirapitanga";-;3;-;-;-;-;3
"291290 Ibirataia";6;-;-;1;-;-;7
"291340 Igaporã";-;2;-;-;-;-;2
"291345 Igrapiúna";1;1;-;-;-;-;2
"291350 Iguaí";1;11;1;-;-;-;13
"291360 Ilhéus";-;16;-;-;-;-;16
"291370 Inhambupe";3;-;-;-;-;-;3
"291390 Ipiaú";7;-;-;-;-;-;7
"291420 Irajuba";2;1;-;-;-;-;3
"291440 Iraquara";-;7;1;-;-;-;8
"291480 Itabuna";-;-;-;-;-;1;1
"291490 Itacaré";11;2;-;-;1;-;14
"291500 Itaeté";2;1;-;-;-;-;3
"291520 Itagibá";1;-;-;-;-;-;1
"291550 Itajuípe";1;-;-;-;-;-;1
"291560 Itamaraju";1;1;-;-;-;-;2
"291570 Itamari";7;1;-;-;-;-;8
"291580 Itambé";1;5;-;-;-;-;6
"291640 Itapetinga";1;-;-;-;-;3;4
"291670 Itaquara";2;1;-;-;1;-;4
"291720 Ituaçu";-;-;-;-;-;2;2
"291730 Ituberá";-;4;-;-;-;-;4
"291733 Iuiú";1;-;-;-;-;-;1
"291735 Jaborandi";-;1;-;-;-;-;1
"291740 Jacaraci";1;1;-;-;-;-;2
"291750 Jacobina";-;7;1;-;-;-;8
"291760 Jaguaquara";-;6;-;-;-;-;6
"291770 Jaguarari";-;5;-;-;-;1;6
"291780 Jaguaripe";1;-;-;-;-;-;1
"291800 Jequié";4;1;-;-;-;-;5
"291810 Jeremoabo";-;1;-;-;-;-;1
"291820 Jiquiriçá";2;13;-;-;-;-;15
"291830 Jitaúna";-;10;-;-;-;-;10
"291835 João Dourado";-;1;-;-;-;-;1
"291840 Juazeiro";1;-;-;-;-;1;2
"291845 Jucuruçu";2;1;-;-;-;-;3
"291880 Laje";12;-;-;-;-;-;12
"291920 Lauro de Freitas";1;1;-;-;1;-;3
"291930 Lençóis";-;12;-;-;-;-;12
"291950 Livramento de Nossa Senhora";1;1;-;-;-;-;2
"291980 Macaúbas";-;1;-;-;-;-;1
"291995 Maetinga";1;-;-;-;-;-;1
"292070 Maraú";3;13;-;-;2;-;18
"292090 Mascote";3;-;-;-;-;-;3
"292100 Mata de São João";-;3;-;-;-;-;3
"292120 Miguel Calmon";8;1;-;-;1;-;10
"292130 Milagres";1;-;-;-;-;-;1
"292140 Mirangaba";2;-;-;-;-;-;2
"292170 Morro do Chapéu";-;2;-;-;-;-;2
"292190 Mucugê";3;1;-;-;-;-;4
"292220 Muniz Ferreira";-;1;-;-;-;-;1
"292225 Muquém de São Francisco";1;-;-;-;-;-;1
"292240 Mutuípe";4;44;7;-;1;-;56
"292260 Nilo Peçanha";10;3;-;-;-;-;13
"292270 Nova Canaã";-;2;-;-;1;-;3
"292275 Nova Ibiá";-;5;-;-;-;-;5
"292285 Nova Redenção";-;1;-;-;-;-;1
"292303 Novo Horizonte";-;1;-;-;-;-;1
"292320 Oliveira dos Brejinhos";-;1;-;-;-;-;1
"292350 Palmeiras";4;15;2;-;-;1;22
"292390 Pau Brasil";-;4;2;-;-;-;6
"292410 Pedrão";-;-;-;-;-;1;1
"292460 Pindobaçu";3;8;-;1;-;-;12
"292467 Piraí do Norte";2;2;-;-;-;-;4
"292470 Piripá";-;2;-;-;-;2;4
"292480 Piritiba";-;1;-;-;-;-;1
"292510 Poções";-;4;-;-;-;-;4
"292520 Pojuca";2;5;-;-;-;-;7
"292525 Ponto Novo";-;1;-;-;-;-;1
"292530 Porto Seguro";2;35;3;1;-;4;45
"292550 Prado";2;-;-;-;-;-;2
"292575 Presidente Tancredo Neves";-;3;2;-;-;-;5
"292590 Quijingue";1;-;-;-;-;-;1
"292593 Quixabeira";-;-;-;-;-;2;2
"292620 Riachão das Neves";-;1;-;-;-;-;1
"292665 Ribeirão do Largo";1;-;-;-;-;-;1
"292680 Rio do Antônio";1;-;-;-;-;-;1
"292720 Ruy Barbosa";1;-;-;-;-;-;1
"292740 Salvador";3;5;1;1;-;7;17
"292770 Santa Cruz Cabrália";3;-;1;-;-;1;5
"292805 Santa Luzia";5;-;-;-;-;1;6
"292810 Santa Maria da Vitória";1;13;-;1;-;-;15
"292840 Santa Rita de Cássia";-;1;-;-;-;-;1
"292850 Santa Teresinha";-;1;-;-;-;-;1
"292860 Santo Amaro";1;-;-;-;-;-;1
"292870 Santo Antônio de Jesus";-;1;-;-;-;-;1
"292890 São Desidério";-;2;-;-;-;-;2
"292900 São Félix";1;-;-;-;-;-;1
"292905 São Félix do Coribe";1;9;1;-;-;-;11
"292935 São José da Vitória";-;6;-;-;-;-;6
"292940 São Miguel das Matas";1;1;-;-;-;-;2
"292960 Sapeaçu";1;-;-;-;-;-;1
"292980 Saúde";7;1;-;1;-;-;9
"292990 Seabra";-;1;-;-;-;2;3
"293010 Senhor do Bonfim";1;2;-;-;-;-;3
"293015 Serra do Ramalho";3;-;-;-;-;-;3
"293030 Serra Dourada";2;-;-;-;-;-;2
"293050 Serrinha";3;-;-;-;-;1;4
"293090 Tabocas do Brejo Velho";2;4;-;-;-;-;6
"293100 Tanhaçu";-;1;-;-;-;-;1
"293120 Taperoá";12;1;-;-;-;-;13
"293135 Teixeira de Freitas";2;-;-;-;-;-;2
"293160 Teolândia";7;-;1;-;-;-;8
"293180 Tremedal";2;-;-;-;-;-;2
"293210 Ubaíra";7;-;-;-;-;-;7
"293220 Ubaitaba";-;1;-;-;-;2;3
"293230 Ubatã";-;3;1;-;-;1;5
"293250 Una";5;18;-;-;-;3;26
"293270 Uruçuca";-;11;-;-;-;-;11
"293280 Utinga";2;8;1;-;-;-;11
"293290 Valença";4;37;2;-;-;-;43
"293330 Vitória da Conquista";1;4;-;2;-;-;7
"293340 Wagner";-;3;-;-;-;-;3
"293350 Wenceslau Guimarães";13;18;-;-;-;-;31
"293360 Xique-Xique";-;-;-;-;-;1;1
"Total";330;542;32;11;11;56;982
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
