Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2023
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"290030 Acajutiba";2;1;-;-;3
"290070 Alagoinhas";1;-;2;-;3
"290090 Almadina";-;-;-;1;1
"290100 Amargosa";5;5;5;3;18
"290110 Amélia Rodrigues";-;1;-;-;1
"290130 Andaraí";-;-;-;1;1
"290180 Antônio Gonçalves";1;-;-;-;1
"290195 Apuarema";-;1;-;2;3
"290205 Araças";-;3;-;1;4
"290250 Baianópolis";-;1;-;-;1
"290280 Barra da Estiva";2;3;2;4;11
"290290 Barra do Choça";2;2;1;1;6
"290320 Barreiras";2;1;2;-;5
"290323 Barro Alto";-;-;-;1;1
"290330 Barro Preto";-;1;-;-;1
"290327 Barrocas";1;-;-;-;1
"290360 Biritinga";-;-;1;-;1
"290370 Boa Nova";1;-;-;-;1
"290380 Boa Vista do Tupim";1;-;-;-;1
"290395 Bom Jesus da Serra";-;3;1;-;4
"290405 Bonito";-;1;-;-;1
"290410 Boquira";1;-;-;-;1
"290420 Botuporã";-;-;-;1;1
"290440 Brejolândia";-;1;1;-;2
"290450 Brotas de Macaúbas";-;-;1;-;1
"290470 Buerarema";4;2;-;3;9
"290510 Caém";4;-;2;12;18
"290515 Caetanos";-;-;-;2;2
"290520 Caetité";-;1;1;-;2
"290540 Cairu";-;-;1;-;1
"290560 Camacan";-;-;1;-;1
"290570 Camaçari";-;-;2;-;2
"290580 Camamu";2;2;5;2;11
"290600 Campo Formoso";-;3;-;1;4
"290630 Canavieiras";-;1;1;-;2
"290670 Cândido Sales";-;-;-;1;1
"290680 Cansanção";-;1;-;-;1
"290687 Capim Grosso";-;-;1;-;1
"290710 Carinhanha";1;-;-;-;1
"290730 Castro Alves";1;-;1;-;2
"290740 Catolândia";-;1;-;-;1
"290750 Catu";-;-;1;1;2
"290800 Coaraci";4;-;1;1;6
"290810 Cocos";1;6;5;7;19
"290870 Condeúba";8;1;-;1;10
"290890 Coração de Maria";1;-;-;-;1
"290900 Cordeiros";1;-;-;1;2
"290910 Coribe";2;3;2;1;8
"290930 Correntina";1;-;3;-;4
"290940 Cotegipe";1;-;-;1;2
"290960 Crisópolis";-;1;-;-;1
"291000 Dário Meira";-;1;-;1;2
"291030 Elísio Medrado";-;1;-;-;1
"291040 Encruzilhada";1;1;1;1;4
"291060 Esplanada";-;-;-;1;1
"291072 Eunápolis";5;-;-;3;8
"291080 Feira de Santana";-;1;-;1;2
"291085 Filadélfia";-;1;-;-;1
"291090 Firmino Alves";1;-;-;-;1
"291110 Formosa do Rio Preto";-;1;-;2;3
"291120 Gandu";5;3;3;3;14
"291130 Gentio do Ouro";1;-;1;-;2
"291160 Governador Mangabeira";1;-;-;-;1
"291180 Guaratinga";1;1;-;1;3
"291200 Ibiassucê";-;1;-;-;1
"291210 Ibicaraí";-;-;-;1;1
"291220 Ibicoara";12;4;3;2;21
"291230 Ibicuí";-;-;-;1;1
"291270 Ibirapitanga";-;1;1;1;3
"291290 Ibirataia";3;3;-;1;7
"291340 Igaporã";-;1;-;1;2
"291345 Igrapiúna";1;-;-;1;2
"291350 Iguaí";3;1;4;5;13
"291360 Ilhéus";1;4;6;5;16
"291370 Inhambupe";3;-;-;-;3
"291390 Ipiaú";1;2;3;1;7
"291420 Irajuba";-;-;-;3;3
"291440 Iraquara";4;2;2;-;8
"291480 Itabuna";-;-;-;1;1
"291490 Itacaré";1;5;4;4;14
"291500 Itaeté";-;1;2;-;3
"291520 Itagibá";1;-;-;-;1
"291550 Itajuípe";-;-;1;-;1
"291560 Itamaraju";-;-;-;2;2
"291570 Itamari";1;-;2;5;8
"291580 Itambé";1;-;-;5;6
"291640 Itapetinga";1;2;1;-;4
"291670 Itaquara";1;1;1;1;4
"291720 Ituaçu";-;2;-;-;2
"291730 Ituberá";-;-;2;2;4
"291733 Iuiú";-;-;-;1;1
"291735 Jaborandi";-;1;-;-;1
"291740 Jacaraci";-;2;-;-;2
"291750 Jacobina";2;2;2;2;8
"291760 Jaguaquara";1;1;1;3;6
"291770 Jaguarari";-;1;4;1;6
"291780 Jaguaripe";-;-;-;1;1
"291800 Jequié";-;1;-;4;5
"291810 Jeremoabo";-;-;1;-;1
"291820 Jiquiriçá";5;3;5;2;15
"291830 Jitaúna";2;3;2;3;10
"291835 João Dourado";-;-;1;-;1
"291840 Juazeiro";1;-;-;1;2
"291845 Jucuruçu";2;-;-;1;3
"291880 Laje";5;4;1;2;12
"291920 Lauro de Freitas";-;-;1;2;3
"291930 Lençóis";6;2;3;1;12
"291950 Livramento de Nossa Senhora";1;-;-;1;2
"291980 Macaúbas";-;-;1;-;1
"291995 Maetinga";-;-;1;-;1
"292070 Maraú";9;2;5;2;18
"292090 Mascote";-;2;1;-;3
"292100 Mata de São João";-;-;2;1;3
"292120 Miguel Calmon";6;1;1;2;10
"292130 Milagres";-;1;-;-;1
"292140 Mirangaba";1;-;1;-;2
"292170 Morro do Chapéu";1;-;-;1;2
"292190 Mucugê";1;1;1;1;4
