Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Evolução do caso
Período:2021
"Município Resid";"Ign/Branco";"Cura";"Abandono";"Óbito por LTA";"Óbito por outra causa";"Tranferência";"Mudança de Diagnóstico";"Total"
"290010 Abaíra";-;1;-;-;-;-;-;1
"290020 Abaré";-;-;-;-;-;-;1;1
"290070 Alagoinhas";-;1;-;-;-;-;-;1
"290090 Almadina";1;-;-;-;-;-;1;2
"290100 Amargosa";-;7;1;-;-;-;-;8
"290120 Anagé";-;1;-;-;-;-;-;1
"290130 Andaraí";1;2;-;-;-;-;-;3
"290140 Angical";1;-;-;-;-;-;-;1
"290180 Antônio Gonçalves";4;1;-;-;-;-;-;5
"290190 Aporá";-;-;-;-;-;-;1;1
"290195 Apuarema";3;-;-;-;-;-;-;3
"290205 Araças";1;-;-;-;-;-;-;1
"290200 Aracatu";1;-;-;-;-;-;-;1
"290210 Araci";-;1;-;-;-;-;-;1
"290240 Aurelino Leal";-;1;-;-;-;-;-;1
"290250 Baianópolis";1;-;-;-;-;-;-;1
"290270 Barra";-;-;-;-;-;-;1;1
"290280 Barra da Estiva";4;27;-;-;-;-;-;31
"290290 Barra do Choça";1;2;-;-;-;-;-;3
"290310 Barra do Rocha";-;1;-;-;-;-;-;1
"290320 Barreiras";1;8;-;-;-;-;-;9
"290330 Barro Preto";1;-;1;-;-;-;-;2
"290340 Belmonte";2;-;-;-;-;-;-;2
"290370 Boa Nova";1;-;-;-;-;-;-;1
"290390 Bom Jesus da Lapa";-;4;1;-;-;-;-;5
"290400 Boninal";1;-;-;-;-;-;-;1
"290405 Bonito";-;1;-;-;-;-;-;1
"290470 Buerarema";9;4;1;-;1;-;-;15
"290480 Caatiba";-;-;-;-;-;-;2;2
"290510 Caém";-;7;-;-;-;-;-;7
"290515 Caetanos";1;-;-;-;-;-;-;1
"290520 Caetité";1;2;-;-;-;-;-;3
"290560 Camacan";-;4;1;-;-;-;1;6
"290570 Camaçari";-;-;-;-;-;1;-;1
"290580 Camamu";9;17;-;-;-;-;-;26
"290600 Campo Formoso";3;2;-;-;-;-;-;5
"290610 Canápolis";1;-;-;-;-;-;-;1
"290630 Canavieiras";-;3;-;-;-;-;-;3
"290670 Cândido Sales";2;-;-;-;-;-;2;4
"290689 Caraíbas";-;-;1;-;-;-;-;1
"290700 Cardeal da Silva";-;-;-;-;-;-;1;1
"290710 Carinhanha";-;2;-;-;-;-;-;2
"290740 Catolândia";-;1;-;-;-;-;-;1
"290780 Cícero Dantas";-;1;-;-;-;-;-;1
"290790 Cipó";-;2;-;-;-;-;-;2
"290800 Coaraci";-;2;-;-;-;-;1;3
"290810 Cocos";5;5;-;-;-;-;-;10
"290830 Conceição do Almeida";-;-;-;-;-;-;1;1
"290840 Conceição do Coité";-;1;-;-;-;-;-;1
"290870 Condeúba";-;4;-;-;-;-;-;4
"290880 Contendas do Sincorá";1;-;-;-;-;-;2;3
"290890 Coração de Maria";-;-;1;-;-;-;-;1
"290900 Cordeiros";1;-;-;-;-;-;-;1
"290910 Coribe";1;13;-;-;-;-;-;14
"290930 Correntina";1;22;-;-;1;-;-;24
"290940 Cotegipe";-;1;-;-;-;-;-;1
"290950 Cravolândia";2;1;-;-;-;-;-;3
"290960 Crisópolis";1;-;-;-;-;-;-;1
"291000 Dário Meira";5;-;-;-;-;-;1;6
"291020 Dom Macedo Costa";1;1;-;-;-;-;-;2
"291050 Entre Rios";-;1;-;-;-;-;-;1
"290050 Érico Cardoso";-;1;-;-;-;-;-;1
"291072 Eunápolis";-;3;1;-;1;-;-;5
"291075 Fátima";1;-;-;-;-;-;-;1
"291077 Feira da Mata";2;4;-;-;-;-;-;6
"291080 Feira de Santana";-;1;-;-;-;-;-;1
"291090 Firmino Alves";2;-;-;-;-;-;-;2
"291110 Formosa do Rio Preto";2;1;-;-;-;-;-;3
"291120 Gandu";1;35;-;-;-;-;-;36
"291170 Guanambi";-;1;-;-;-;-;-;1
"291180 Guaratinga";3;-;-;-;-;-;-;3
"291200 Ibiassucê";1;-;-;-;-;-;-;1
