Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2021
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"290010 Abaíra";-;-;-;-;-;-;1;-;-;-;1
"290020 Abaré";-;-;-;1;-;-;-;-;-;-;1
"290070 Alagoinhas";-;-;-;-;-;-;1;-;-;-;1
"290090 Almadina";-;-;-;-;-;1;-;-;1;-;2
"290100 Amargosa";-;-;1;1;1;2;-;1;1;1;8
"290120 Anagé";-;-;-;-;-;-;-;-;1;-;1
"290130 Andaraí";-;-;-;-;2;-;1;-;-;-;3
"290140 Angical";-;-;-;-;-;-;-;1;-;-;1
"290180 Antônio Gonçalves";-;-;-;-;-;-;2;1;1;1;5
"290190 Aporá";-;-;-;-;-;1;-;-;-;-;1
"290195 Apuarema";-;-;-;1;-;-;1;-;1;-;3
"290205 Araças";-;-;-;-;-;-;-;-;1;-;1
"290200 Aracatu";-;1;-;-;-;-;-;-;-;-;1
"290210 Araci";-;1;-;-;-;-;-;-;-;-;1
"290240 Aurelino Leal";-;-;-;-;-;-;1;-;-;-;1
"290250 Baianópolis";-;-;-;-;-;-;1;-;-;-;1
"290270 Barra";-;-;-;-;-;-;1;-;-;-;1
"290280 Barra da Estiva";-;1;1;-;2;11;10;2;4;-;31
"290290 Barra do Choça";-;-;-;-;-;1;-;-;2;-;3
"290310 Barra do Rocha";-;-;-;-;-;-;-;1;-;-;1
"290320 Barreiras";-;-;1;1;1;2;1;3;-;-;9
"290330 Barro Preto";-;-;-;-;-;1;1;-;-;-;2
"290340 Belmonte";-;-;-;-;-;-;-;-;-;2;2
"290370 Boa Nova";-;-;-;-;-;-;1;-;-;-;1
"290390 Bom Jesus da Lapa";-;-;-;-;-;2;2;1;-;-;5
"290400 Boninal";-;-;1;-;-;-;-;-;-;-;1
"290405 Bonito";-;-;-;1;-;-;-;-;-;-;1
"290470 Buerarema";-;-;-;1;1;4;2;2;4;1;15
"290480 Caatiba";-;-;-;-;-;-;1;1;-;-;2
"290510 Caém";-;1;-;1;2;-;2;-;1;-;7
"290515 Caetanos";-;-;-;-;-;-;-;-;-;1;1
"290520 Caetité";-;-;1;-;-;-;2;-;-;-;3
"290560 Camacan";-;-;-;1;-;-;2;1;1;1;6
"290570 Camaçari";-;-;-;-;-;-;-;-;1;-;1
"290580 Camamu";-;1;-;1;3;8;9;2;1;1;26
"290600 Campo Formoso";-;-;-;-;-;-;3;1;-;1;5
"290610 Canápolis";-;-;-;-;-;-;1;-;-;-;1
"290630 Canavieiras";-;-;-;-;-;2;-;1;-;-;3
"290670 Cândido Sales";-;-;1;1;-;-;1;-;1;-;4
"290689 Caraíbas";-;-;-;-;-;-;-;1;-;-;1
"290700 Cardeal da Silva";-;-;-;-;1;-;-;-;-;-;1
"290710 Carinhanha";-;-;-;-;-;1;1;-;-;-;2
"290740 Catolândia";-;-;-;-;-;1;-;-;-;-;1
"290780 Cícero Dantas";-;-;-;-;-;-;1;-;-;-;1
"290790 Cipó";-;-;-;-;-;-;-;-;-;2;2
"290800 Coaraci";-;-;-;-;-;1;1;1;-;-;3
"290810 Cocos";-;-;-;-;1;2;3;1;2;1;10
"290830 Conceição do Almeida";-;-;-;-;-;-;1;-;-;-;1
"290840 Conceição do Coité";-;-;-;-;-;-;-;-;1;-;1
"290870 Condeúba";-;-;-;-;-;-;1;1;1;1;4
"290880 Contendas do Sincorá";-;-;-;1;-;-;-;-;1;1;3
"290890 Coração de Maria";-;-;-;-;-;-;-;-;1;-;1
"290900 Cordeiros";-;-;-;-;-;-;-;-;1;-;1
"290910 Coribe";-;1;-;-;2;4;3;3;1;-;14
"290930 Correntina";-;-;-;-;2;6;8;4;3;1;24
"290940 Cotegipe";-;-;-;-;-;-;-;-;1;-;1
"290950 Cravolândia";-;-;-;-;-;3;-;-;-;-;3
"290960 Crisópolis";-;-;-;-;-;-;-;1;-;-;1
"291000 Dário Meira";-;-;-;1;-;-;-;2;2;1;6
