Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Assistência Médica
Período:2018
"Município-BA";"Sim";"Não";"Ignorado";"Total"
"290010 Abaíra";15;3;44;62
"290020 Abaré";15;14;72;101
"290030 Acajutiba";38;21;51;110
"290035 Adustina";20;3;50;73
"290040 Água Fria";8;8;83;99
"290060 Aiquara";5;-;25;30
"290070 Alagoinhas";809;219;83;1111
"290080 Alcobaça";60;47;60;167
"290090 Almadina";7;3;41;51
"290100 Amargosa";49;20;197;266
"290110 Amélia Rodrigues";18;26;138;182
"290115 América Dourada";21;13;61;95
"290120 Anagé";12;9;140;161
"290130 Andaraí";7;6;54;67
"290135 Andorinha";6;40;21;67
"290140 Angical";44;6;46;96
"290150 Anguera";5;4;66;75
"290160 Antas";21;14;52;87
"290170 Antônio Cardoso";7;2;65;74
"290180 Antônio Gonçalves";21;18;20;59
"290190 Aporá";49;20;71;140
"290195 Apuarema";1;1;41;43
"290205 Araças";29;12;43;84
"290200 Aracatu";14;6;62;82
"290210 Araci";123;126;56;305
"290220 Aramari";47;17;12;76
"290225 Arataca";8;12;54;74
"290230 Aratuípe";28;6;28;62
"290240 Aurelino Leal";10;4;82;96
"290250 Baianópolis";29;1;53;83
"290260 Baixa Grande";95;20;17;132
"290265 Banzaê";12;4;49;65
"290270 Barra";36;19;259;314
"290280 Barra da Estiva";34;10;113;157
"290290 Barra do Choça";35;21;196;252
"290300 Barra do Mendes";92;11;17;120
"290310 Barra do Rocha";3;-;35;38
"290320 Barreiras";522;77;209;808
"290323 Barro Alto";96;12;15;123
"290330 Barro Preto";5;4;49;58
"290327 Barrocas";11;6;63;80
"290340 Belmonte";98;27;25;150
"290350 Belo Campo";9;2;121;132
"290360 Biritinga";7;1;89;97
"290370 Boa Nova";16;8;76;100
"290380 Boa Vista do Tupim";10;6;78;94
"290390 Bom Jesus da Lapa";240;124;33;397
"290395 Bom Jesus da Serra";4;1;55;60
"290400 Boninal";5;1;95;101
"290405 Bonito";24;15;39;78
"290410 Boquira";6;4;129;139
"290420 Botuporã";4;4;55;63
"290430 Brejões";9;7;85;101
"290440 Brejolândia";14;2;12;28
"290450 Brotas de Macaúbas";61;21;7;89
"290460 Brumado";151;36;275;462
"290470 Buerarema";16;6;95;117
"290475 Buritirama";92;5;22;119
"290480 Caatiba";1;-;27;28
"290485 Cabaceiras do Paraguaçu";23;4;81;108
"290490 Cachoeira";44;16;153;213
"290500 Caculé";14;4;116;134
"290510 Caém";6;1;61;68
"290515 Caetanos";3;1;53;57
"290520 Caetité";49;12;233;294
"290530 Cafarnaum";31;11;68;110
"290540 Cairu";32;19;22;73
"290550 Caldeirão Grande";14;3;38;55
"290560 Camacan";19;18;213;250
"290570 Camaçari";571;94;741;1406
"290580 Camamu";34;28;154;216
"290590 Campo Alegre de Lourdes";25;107;12;144
"290600 Campo Formoso";118;44;209;371
