Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Mes Diagnóstico
Período:2019
"Município Resid";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"290020 Abaré";-;-;-;-;-;-;-;1;-;-;-;-;1
"290060 Aiquara";-;-;-;-;1;-;-;1;-;-;-;-;2
"290070 Alagoinhas";-;-;-;-;-;-;-;1;-;-;1;-;2
"290090 Almadina";-;1;-;-;-;-;-;1;-;1;-;-;3
"290100 Amargosa";-;-;2;-;-;-;-;-;-;1;-;-;3
"290120 Anagé";-;-;-;-;-;-;1;-;-;-;-;-;1
"290130 Andaraí";1;1;-;-;-;-;-;-;-;1;-;-;3
"290180 Antônio Gonçalves";-;1;-;-;1;-;-;-;2;-;-;-;4
"290210 Araci";-;-;-;-;-;1;-;-;-;-;-;-;1
"290225 Arataca";-;-;-;1;-;-;1;-;-;-;-;-;2
"290240 Aurelino Leal";1;-;-;-;-;-;-;-;-;-;-;-;1
"290280 Barra da Estiva";11;2;2;1;5;1;-;3;-;7;1;2;35
"290290 Barra do Choça";-;1;-;-;-;-;-;-;-;-;-;1;2
"290320 Barreiras";-;1;1;-;-;-;-;-;1;-;3;1;7
"290330 Barro Preto";-;-;-;-;-;-;-;1;1;-;-;-;2
"290390 Bom Jesus da Lapa";-;-;1;-;-;-;-;-;-;-;-;-;1
"290405 Bonito";1;-;-;-;-;-;-;-;-;-;-;-;1
"290440 Brejolândia";1;-;-;-;-;-;-;-;-;1;-;-;2
"290460 Brumado";-;-;-;1;-;-;-;-;-;-;-;-;1
"290470 Buerarema";2;2;2;3;3;2;-;5;2;3;5;2;31
"290480 Caatiba";2;1;-;-;1;1;-;1;-;-;1;-;7
"290490 Cachoeira";-;-;-;-;1;-;-;-;-;-;-;-;1
"290500 Caculé";-;-;-;-;1;-;-;-;-;-;-;-;1
"290510 Caém";-;3;3;-;-;-;-;-;-;-;-;1;7
"290520 Caetité";-;-;-;-;-;-;1;-;-;-;-;-;1
"290560 Camacan";-;1;-;1;-;-;-;-;-;-;-;-;2
"290570 Camaçari";-;-;-;-;-;1;-;-;-;-;-;-;1
"290580 Camamu";4;1;1;3;1;1;4;7;7;5;8;6;48
"290600 Campo Formoso";-;-;1;-;-;-;-;-;-;-;-;-;1
"290630 Canavieiras";-;2;-;-;-;1;-;-;-;1;1;1;6
"290670 Cândido Sales";1;-;-;-;-;-;-;-;-;-;-;-;1
"290689 Caraíbas";-;-;1;-;-;-;-;-;-;-;-;-;1
"290740 Catolândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"290800 Coaraci";-;-;1;-;-;1;-;1;-;1;-;1;5
"290810 Cocos";-;2;1;3;1;2;3;1;-;-;3;1;17
"290850 Conceição do Jacuípe";-;-;-;-;-;-;-;-;-;1;-;-;1
"290860 Conde";1;-;-;-;-;-;-;-;-;-;-;-;1
"290880 Contendas do Sincorá";-;-;-;-;1;-;-;-;-;-;-;-;1
"290910 Coribe";-;1;2;2;3;2;3;1;3;3;-;2;22
"290930 Correntina";-;-;-;-;-;-;-;-;-;-;1;-;1
"290950 Cravolândia";-;-;-;-;-;-;-;2;1;1;-;2;6
"290980 Cruz das Almas";-;-;-;-;-;1;-;-;-;-;-;-;1
"291000 Dário Meira";1;2;1;-;-;-;-;-;-;1;-;-;5
"291005 Dias d'Ávila";-;-;-;2;-;-;-;-;-;-;1;-;3
"291040 Encruzilhada";-;-;-;-;-;-;-;-;1;-;-;-;1
"291060 Esplanada";-;-;-;-;-;-;1;-;1;-;-;-;2
"291072 Eunápolis";-;2;-;1;1;-;-;-;-;3;1;-;8
"291077 Feira da Mata";-;-;-;-;-;-;2;-;3;1;-;-;6
"291080 Feira de Santana";-;-;-;-;-;-;-;-;-;-;1;-;1
"291090 Firmino Alves";-;-;1;-;-;-;-;-;-;-;-;-;1
"291100 Floresta Azul";2;2;-;-;-;-;1;1;1;-;-;-;7
"291120 Gandu";3;2;3;-;1;1;1;1;1;2;3;1;19
"291150 Gongogi";-;-;-;-;-;-;1;-;-;-;-;-;1
"291170 Guanambi";-;1;-;-;-;-;-;-;-;-;-;-;1
"291180 Guaratinga";1;-;-;1;-;-;2;-;-;-;1;-;5
"291220 Ibicoara";3;6;8;7;4;4;3;1;5;1;-;1;43
"291230 Ibicuí";-;-;-;-;2;-;2;-;1;1;-;-;6
"291270 Ibirapitanga";1;1;-;1;1;1;1;-;-;-;-;-;6
"291280 Ibirapuã";-;-;-;-;1;-;1;-;-;-;-;-;2
"291290 Ibirataia";1;-;-;-;-;-;1;-;1;-;-;-;3
"291345 Igrapiúna";2;-;1;2;-;1;4;2;1;2;4;2;21
"291350 Iguaí";1;1;-;-;1;-;1;-;-;-;-;-;4
"291360 Ilhéus";-;1;2;3;5;2;-;3;4;2;1;4;27
"291390 Ipiaú";4;-;1;1;-;-;1;-;-;-;-;-;7
"291430 Iramaia";-;-;1;1;-;-;-;-;-;-;-;-;2
"291440 Iraquara";-;-;-;-;-;-;-;-;-;-;-;1;1
"291465 Itabela";-;-;-;-;-;-;-;1;-;-;-;-;1
"291470 Itaberaba";1;-;-;-;-;-;-;-;-;-;-;-;1
"291480 Itabuna";-;-;-;-;-;-;-;-;-;2;3;1;6
"291490 Itacaré";1;1;-;-;1;1;2;-;-;2;-;-;8
"291510 Itagi";-;-;-;-;-;1;-;-;-;1;-;1;3
"291520 Itagibá";-;-;-;-;-;-;2;-;1;-;-;1;4
"291540 Itaju do Colônia";-;-;1;-;2;-;-;-;-;-;-;-;3
"291550 Itajuípe";-;1;-;-;-;1;-;-;1;-;-;1;4
"291560 Itamaraju";-;-;-;-;-;-;-;-;2;-;-;-;2
"291570 Itamari";-;2;1;-;1;-;1;-;1;1;1;-;8
"291580 Itambé";2;1;4;1;-;-;-;-;-;1;1;2;12
"291590 Itanagra";-;-;-;-;-;-;-;-;2;-;-;-;2
"291620 Itapé";-;-;-;1;-;-;-;-;-;-;-;-;1
"291640 Itapetinga";-;-;-;1;1;-;1;-;-;-;-;1;4
"291660 Itapitanga";-;-;-;-;-;-;-;-;1;-;-;1;2
"291670 Itaquara";1;3;1;3;-;-;-;-;2;2;-;2;14
"291710 Itororó";-;-;-;-;-;1;-;1;-;1;-;-;3
"291720 Ituaçu";-;-;-;-;1;-;-;1;2;-;1;-;5
"291730 Ituberá";4;3;4;2;2;4;-;-;5;2;1;-;27
"291733 Iuiú";-;-;-;-;-;-;1;-;-;-;-;-;1
"291735 Jaborandi";1;-;-;-;-;-;-;-;-;-;-;-;1
"291740 Jacaraci";1;1;1;-;2;1;1;-;1;-;-;-;8
"291750 Jacobina";-;-;2;2;-;-;-;2;-;-;-;-;6
"291760 Jaguaquara";3;-;-;1;-;-;-;-;1;1;1;2;9
"291800 Jequié";1;-;-;-;4;-;3;1;-;1;2;-;12
"291820 Jiquiriçá";-;3;-;1;2;-;-;1;3;1;2;2;15
"291830 Jitaúna";1;-;-;1;1;4;3;-;-;1;1;1;13
"291855 Jussari";2;-;-;-;1;-;-;-;-;-;-;-;3
"291880 Laje";3;-;4;-;2;2;1;-;-;2;2;-;16
"291890 Lajedão";-;-;-;-;-;-;-;-;-;1;-;-;1
"291900 Lajedinho";-;-;-;-;-;-;-;-;1;-;-;-;1
"291905 Lajedo do Tabocal";-;-;1;-;-;-;-;-;-;-;-;-;1
"291920 Lauro de Freitas";1;-;-;-;-;-;2;-;-;2;-;-;5
"291930 Lençóis";2;-;-;1;-;-;-;-;1;-;-;-;4
"291940 Licínio de Almeida";-;-;-;-;-;-;-;1;-;-;-;-;1
"291980 Macaúbas";-;-;-;-;-;-;-;-;-;1;-;1;2
"292000 Maiquinique";1;1;-;-;-;-;-;-;-;-;-;-;2
"292040 Manoel Vitorino";-;1;-;-;-;-;-;-;-;-;-;-;1
"292050 Maracás";-;-;-;-;1;-;-;-;-;-;-;1;2
"292070 Maraú";5;1;4;4;2;-;4;4;3;2;5;-;34
"292090 Mascote";-;-;-;-;-;-;-;-;1;1;1;-;3
"292100 Mata de São João";-;-;-;-;-;-;-;-;1;-;-;-;1
"292105 Matina";1;-;-;-;-;-;-;-;-;-;-;-;1
"292120 Miguel Calmon";6;1;1;2;-;1;-;-;3;1;-;1;16
"292150 Monte Santo";-;-;-;-;-;-;-;1;-;-;-;-;1
"292170 Morro do Chapéu";1;-;-;-;-;-;-;-;-;-;-;-;1
"292190 Mucugê";-;1;-;-;-;-;-;-;-;-;1;-;2
"292200 Mucuri";1;-;-;-;-;-;-;-;-;-;-;-;1
"292240 Mutuípe";10;12;2;6;10;1;1;1;2;5;3;1;54
"292260 Nilo Peçanha";12;7;7;10;5;2;8;1;3;6;3;-;64
"292265 Nordestina";-;-;-;-;1;-;-;-;-;-;-;-;1
"292270 Nova Canaã";2;2;1;-;-;1;4;3;7;2;-;-;22
"292275 Nova Ibiá";-;-;-;-;1;1;-;-;-;-;-;-;2
"292285 Nova Redenção";1;-;-;-;1;-;-;-;-;-;-;-;2
"292350 Palmeiras";1;-;1;4;1;-;-;1;-;-;-;-;8
"292390 Pau Brasil";-;1;2;-;-;1;-;1;1;-;1;-;7
"292460 Pindobaçu";1;-;-;-;-;-;-;-;3;-;1;-;5
"292467 Piraí do Norte";-;-;-;-;1;1;-;1;-;2;-;2;7
"292470 Piripá";-;1;-;-;-;-;-;-;-;-;-;-;1
"292500 Planalto";-;-;-;-;-;-;2;-;-;1;1;1;5
