Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Escolaridade
Período:2019
"Município Resid";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"290020 Abaré";-;1;-;-;-;-;-;-;-;-;-;1
"290060 Aiquara";-;1;-;-;-;1;-;-;-;-;-;2
"290070 Alagoinhas";1;-;-;-;-;-;1;-;-;-;-;2
"290090 Almadina";1;-;-;-;-;1;-;1;-;-;-;3
"290100 Amargosa";1;1;1;-;-;-;-;-;-;-;-;3
"290120 Anagé";-;-;-;-;-;-;-;1;-;-;-;1
"290130 Andaraí";-;-;2;-;-;-;-;1;-;-;-;3
"290180 Antônio Gonçalves";2;1;1;-;-;-;-;-;-;-;-;4
"290210 Araci";-;1;-;-;-;-;-;-;-;-;-;1
"290225 Arataca";1;-;-;1;-;-;-;-;-;-;-;2
"290240 Aurelino Leal";-;-;-;-;-;1;-;-;-;-;-;1
"290280 Barra da Estiva";12;-;9;3;3;2;2;3;-;-;1;35
"290290 Barra do Choça";-;-;-;2;-;-;-;-;-;-;-;2
"290320 Barreiras";1;-;-;1;-;1;2;2;-;-;-;7
"290330 Barro Preto";1;-;1;-;-;-;-;-;-;-;-;2
"290390 Bom Jesus da Lapa";1;-;-;-;-;-;-;-;-;-;-;1
"290405 Bonito";1;-;-;-;-;-;-;-;-;-;-;1
"290440 Brejolândia";1;-;-;-;-;-;-;1;-;-;-;2
"290460 Brumado";-;-;1;-;-;-;-;-;-;-;-;1
"290470 Buerarema";16;-;3;2;1;1;2;1;-;-;5;31
"290480 Caatiba";2;-;2;1;-;1;-;-;-;-;1;7
"290490 Cachoeira";1;-;-;-;-;-;-;-;-;-;-;1
"290500 Caculé";1;-;-;-;-;-;-;-;-;-;-;1
"290510 Caém";2;1;2;-;1;-;-;-;-;-;1;7
"290520 Caetité";-;-;1;-;-;-;-;-;-;-;-;1
"290560 Camacan";1;-;-;-;-;-;1;-;-;-;-;2
"290570 Camaçari";1;-;-;-;-;-;-;-;-;-;-;1
"290580 Camamu";31;3;2;1;4;3;2;1;-;-;1;48
"290600 Campo Formoso";-;-;-;-;-;-;-;1;-;-;-;1
"290630 Canavieiras";-;1;3;-;-;1;-;-;-;-;1;6
"290670 Cândido Sales";1;-;-;-;-;-;-;-;-;-;-;1
"290689 Caraíbas";-;-;1;-;-;-;-;-;-;-;-;1
"290740 Catolândia";-;-;-;-;-;-;-;-;-;-;1;1
"290800 Coaraci";3;1;-;1;-;-;-;-;-;-;-;5
"290810 Cocos";12;-;2;-;1;1;-;1;-;-;-;17
"290850 Conceição do Jacuípe";-;-;-;-;-;-;-;1;-;-;-;1
"290860 Conde";1;-;-;-;-;-;-;-;-;-;-;1
"290880 Contendas do Sincorá";-;-;1;-;-;-;-;-;-;-;-;1
"290910 Coribe";8;1;1;1;2;-;1;7;-;-;1;22
"290930 Correntina";-;-;-;-;-;-;-;1;-;-;-;1
"290950 Cravolândia";-;-;3;-;1;-;-;1;-;1;-;6
"290980 Cruz das Almas";-;-;-;-;-;-;-;-;1;-;-;1
"291000 Dário Meira";2;-;1;-;-;1;-;1;-;-;-;5
"291005 Dias d'Ávila";2;-;1;-;-;-;-;-;-;-;-;3
"291040 Encruzilhada";-;1;-;-;-;-;-;-;-;-;-;1
"291060 Esplanada";-;-;1;-;1;-;-;-;-;-;-;2
"291072 Eunápolis";2;-;3;-;1;1;-;1;-;-;-;8
"291077 Feira da Mata";5;-;-;-;-;-;-;-;-;-;1;6
"291080 Feira de Santana";-;-;-;-;-;-;-;-;-;-;1;1
"291090 Firmino Alves";1;-;-;-;-;-;-;-;-;-;-;1
"291100 Floresta Azul";1;3;2;-;1;-;-;-;-;-;-;7
"291120 Gandu";-;3;3;1;6;1;1;2;-;-;2;19
"291150 Gongogi";-;-;-;-;-;-;-;1;-;-;-;1
"291170 Guanambi";-;-;-;-;-;-;-;1;-;-;-;1
"291180 Guaratinga";-;1;-;1;2;-;1;-;-;-;-;5
"291220 Ibicoara";20;1;9;2;4;-;2;4;-;-;1;43
"291230 Ibicuí";1;-;2;1;1;-;-;-;-;-;1;6
"291270 Ibirapitanga";-;1;3;-;1;-;-;1;-;-;-;6
"291280 Ibirapuã";1;-;-;-;-;-;-;-;-;-;1;2
"291290 Ibirataia";2;-;-;-;-;-;-;-;-;-;1;3
"291345 Igrapiúna";1;3;2;3;2;-;6;3;-;-;1;21
"291350 Iguaí";2;1;-;-;1;-;-;-;-;-;-;4
"291360 Ilhéus";7;1;7;6;2;-;1;-;1;2;-;27
"291390 Ipiaú";3;-;3;-;1;-;-;-;-;-;-;7
"291430 Iramaia";1;1;-;-;-;-;-;-;-;-;-;2
"291440 Iraquara";1;-;-;-;-;-;-;-;-;-;-;1
"291465 Itabela";1;-;-;-;-;-;-;-;-;-;-;1
"291470 Itaberaba";1;-;-;-;-;-;-;-;-;-;-;1
"291480 Itabuna";-;1;3;-;1;-;1;-;-;-;-;6
"291490 Itacaré";4;-;-;-;1;1;-;1;-;1;-;8
"291510 Itagi";-;2;-;-;-;-;-;-;-;1;-;3
"291520 Itagibá";2;-;-;1;-;-;-;1;-;-;-;4
"291540 Itaju do Colônia";1;1;-;-;-;-;-;1;-;-;-;3
"291550 Itajuípe";1;-;-;-;2;-;-;-;-;1;-;4
"291560 Itamaraju";1;-;-;-;-;-;1;-;-;-;-;2
"291570 Itamari";-;-;5;1;-;-;-;1;-;-;1;8
"291580 Itambé";4;1;4;1;-;1;-;1;-;-;-;12
"291590 Itanagra";1;1;-;-;-;-;-;-;-;-;-;2
"291620 Itapé";-;-;-;1;-;-;-;-;-;-;-;1
"291640 Itapetinga";4;-;-;-;-;-;-;-;-;-;-;4
"291660 Itapitanga";-;-;1;-;-;-;-;1;-;-;-;2
"291670 Itaquara";10;-;-;-;-;-;1;-;-;-;3;14
"291710 Itororó";3;-;-;-;-;-;-;-;-;-;-;3
"291720 Ituaçu";-;1;2;-;1;1;-;-;-;-;-;5
"291730 Ituberá";3;-;6;10;4;-;-;-;-;-;4;27
"291733 Iuiú";1;-;-;-;-;-;-;-;-;-;-;1
"291735 Jaborandi";-;-;-;-;1;-;-;-;-;-;-;1
"291740 Jacaraci";2;-;1;-;2;1;1;1;-;-;-;8
"291750 Jacobina";5;1;-;-;-;-;-;-;-;-;-;6
"291760 Jaguaquara";3;-;2;1;2;1;-;-;-;-;-;9
"291800 Jequié";1;1;3;1;3;1;-;1;-;1;-;12
"291820 Jiquiriçá";5;1;2;-;3;1;-;-;-;1;2;15
"291830 Jitaúna";12;-;-;-;-;-;-;-;-;-;1;13
"291855 Jussari";-;1;-;1;-;-;1;-;-;-;-;3
"291880 Laje";4;1;4;-;4;1;-;1;-;-;1;16
"291890 Lajedão";-;-;-;-;-;1;-;-;-;-;-;1
"291900 Lajedinho";-;-;-;-;1;-;-;-;-;-;-;1
"291905 Lajedo do Tabocal";-;1;-;-;-;-;-;-;-;-;-;1
"291920 Lauro de Freitas";1;-;-;-;1;1;-;-;-;1;1;5
"291930 Lençóis";2;-;-;-;1;-;-;1;-;-;-;4
"291940 Licínio de Almeida";-;-;1;-;-;-;-;-;-;-;-;1
"291980 Macaúbas";2;-;-;-;-;-;-;-;-;-;-;2
"292000 Maiquinique";-;-;-;-;-;1;1;-;-;-;-;2
"292040 Manoel Vitorino";-;-;1;-;-;-;-;-;-;-;-;1
"292050 Maracás";1;1;-;-;-;-;-;-;-;-;-;2
"292070 Maraú";4;3;4;3;11;1;4;2;-;-;2;34
"292090 Mascote";1;-;2;-;-;-;-;-;-;-;-;3
"292100 Mata de São João";-;-;-;-;-;-;-;1;-;-;-;1
"292105 Matina";1;-;-;-;-;-;-;-;-;-;-;1
"292120 Miguel Calmon";11;-;2;-;-;-;-;-;-;-;3;16
"292150 Monte Santo";1;-;-;-;-;-;-;-;-;-;-;1
"292170 Morro do Chapéu";-;-;1;-;-;-;-;-;-;-;-;1
"292190 Mucugê";-;-;1;-;-;-;-;1;-;-;-;2
"292200 Mucuri";-;-;-;-;-;-;1;-;-;-;-;1
"292240 Mutuípe";26;3;6;1;11;2;-;-;-;1;4;54
"292260 Nilo Peçanha";8;4;9;8;10;1;6;10;-;-;8;64
"292265 Nordestina";1;-;-;-;-;-;-;-;-;-;-;1
"292270 Nova Canaã";3;1;6;1;2;-;2;3;-;-;4;22
"292275 Nova Ibiá";-;-;-;-;-;1;-;-;-;-;1;2
"292285 Nova Redenção";1;-;-;-;-;-;-;1;-;-;-;2
"292350 Palmeiras";5;-;1;-;-;-;-;1;1;-;-;8
"292390 Pau Brasil";-;1;4;-;-;1;1;-;-;-;-;7
"292460 Pindobaçu";4;-;-;-;-;-;-;-;-;-;1;5
"292467 Piraí do Norte";2;1;1;-;2;-;1;-;-;-;-;7
"292470 Piripá";1;-;-;-;-;-;-;-;-;-;-;1
"292500 Planalto";3;-;1;-;-;-;-;1;-;-;-;5
"292510 Poções";4;-;2;-;-;-;-;1;-;-;-;7
"292520 Pojuca";-;-;1;1;-;-;-;1;-;-;-;3
"292530 Porto Seguro";21;-;2;1;-;1;1;2;1;-;1;30
"292550 Prado";-;-;-;1;-;-;-;-;-;-;-;1
"292575 Presidente Tancredo Neves";1;5;8;-;8;1;-;3;-;-;2;28
