Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Crit.Confirm/Descarte
Período:2019
"Município Resid";"Clínico-Laboratorial";"Clínico-epidemiológico";"Total"
"290020 Abaré";-;1;1
"290060 Aiquara";-;2;2
"290070 Alagoinhas";-;2;2
"290090 Almadina";1;2;3
"290100 Amargosa";1;2;3
"290120 Anagé";-;1;1
"290130 Andaraí";-;3;3
"290180 Antônio Gonçalves";-;4;4
"290210 Araci";-;1;1
"290225 Arataca";1;1;2
"290240 Aurelino Leal";-;1;1
"290280 Barra da Estiva";13;22;35
"290290 Barra do Choça";1;1;2
"290320 Barreiras";4;3;7
"290330 Barro Preto";1;1;2
"290390 Bom Jesus da Lapa";1;-;1
"290405 Bonito";-;1;1
"290440 Brejolândia";1;1;2
"290460 Brumado";-;1;1
"290470 Buerarema";1;30;31
"290480 Caatiba";-;7;7
"290490 Cachoeira";1;-;1
"290500 Caculé";1;-;1
"290510 Caém";1;6;7
"290520 Caetité";-;1;1
"290560 Camacan";-;2;2
"290570 Camaçari";1;-;1
"290580 Camamu";8;40;48
"290600 Campo Formoso";-;1;1
"290630 Canavieiras";1;5;6
"290670 Cândido Sales";-;1;1
"290689 Caraíbas";-;1;1
"290740 Catolândia";1;-;1
"290800 Coaraci";-;5;5
"290810 Cocos";4;13;17
"290850 Conceição do Jacuípe";-;1;1
"290860 Conde";-;1;1
"290880 Contendas do Sincorá";-;1;1
"290910 Coribe";18;4;22
"290930 Correntina";1;-;1
"290950 Cravolândia";6;-;6
"290980 Cruz das Almas";-;1;1
"291000 Dário Meira";-;5;5
"291005 Dias d'Ávila";-;3;3
"291040 Encruzilhada";1;-;1
"291060 Esplanada";1;1;2
"291072 Eunápolis";2;6;8
"291077 Feira da Mata";1;5;6
"291080 Feira de Santana";-;1;1
"291090 Firmino Alves";-;1;1
"291100 Floresta Azul";-;7;7
"291120 Gandu";15;4;19
"291150 Gongogi";-;1;1
"291170 Guanambi";-;1;1
"291180 Guaratinga";1;4;5
"291220 Ibicoara";8;35;43
"291230 Ibicuí";-;6;6
"291270 Ibirapitanga";4;2;6
"291280 Ibirapuã";1;1;2
"291290 Ibirataia";2;1;3
"291345 Igrapiúna";2;19;21
"291350 Iguaí";-;4;4
"291360 Ilhéus";-;27;27
"291390 Ipiaú";-;7;7
"291430 Iramaia";-;2;2
"291440 Iraquara";-;1;1
"291465 Itabela";1;-;1
"291470 Itaberaba";1;-;1
"291480 Itabuna";-;6;6
"291490 Itacaré";-;8;8
"291510 Itagi";1;2;3
"291520 Itagibá";-;4;4
"291540 Itaju do Colônia";-;3;3
"291550 Itajuípe";-;4;4
"291560 Itamaraju";-;2;2
"291570 Itamari";4;4;8
"291580 Itambé";2;10;12
"291590 Itanagra";1;1;2
"291620 Itapé";-;1;1
"291640 Itapetinga";-;4;4
"291660 Itapitanga";-;2;2
"291670 Itaquara";9;5;14
"291710 Itororó";-;3;3
"291720 Ituaçu";2;3;5
"291730 Ituberá";4;23;27
"291733 Iuiú";1;-;1
"291735 Jaborandi";1;-;1
"291740 Jacaraci";5;3;8
