Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2017
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"290020 Abaré";-;-;1;-;1
"290030 Acajutiba";-;-;1;-;1
"290070 Alagoinhas";-;-;-;1;1
"290100 Amargosa";-;2;1;7;10
"290130 Andaraí";1;-;-;1;2
"290195 Apuarema";3;2;-;2;7
"290225 Arataca";1;-;-;-;1
"290230 Aratuípe";-;-;-;1;1
"290280 Barra da Estiva";9;6;7;-;22
"290290 Barra do Choça";-;-;1;1;2
"290310 Barra do Rocha";-;1;-;-;1
"290320 Barreiras";2;1;-;-;3
"290330 Barro Preto";-;1;-;-;1
"290370 Boa Nova";-;-;1;-;1
"290410 Boquira";1;-;1;-;2
"290420 Botuporã";1;-;-;-;1
"290470 Buerarema";10;8;2;4;24
"290480 Caatiba";1;-;-;-;1
"290490 Cachoeira";1;-;4;2;7
"290510 Caém";1;-;1;-;2
"290540 Cairu";4;1;3;1;9
"290550 Caldeirão Grande";-;-;-;3;3
"290560 Camacan";-;-;1;-;1
"290570 Camaçari";2;-;2;1;5
"290580 Camamu";20;24;27;8;79
"290600 Campo Formoso";-;1;2;-;3
"290610 Canápolis";-;-;1;-;1
"290630 Canavieiras";2;1;3;-;6
"290650 Candeias";-;-;1;-;1
"290689 Caraíbas";-;-;-;1;1
"290800 Coaraci";4;1;1;1;7
"290810 Cocos";2;3;9;3;17
"290870 Condeúba";-;1;-;-;1
"290880 Contendas do Sincorá";-;-;3;-;3
"290910 Coribe";7;1;6;3;17
"290930 Correntina";1;-;-;-;1
"291000 Dário Meira";2;1;-;4;7
"291005 Dias d'Ávila";-;-;1;-;1
"291030 Elísio Medrado";-;-;-;1;1
"291077 Feira da Mata";1;1;1;1;4
"291085 Filadélfia";-;1;-;-;1
"291100 Floresta Azul";1;-;1;-;2
"291110 Formosa do Rio Preto";1;1;-;-;2
"291120 Gandu";17;12;10;11;50
"291170 Guanambi";1;-;-;1;2
"291210 Ibicaraí";2;-;-;1;3
"291220 Ibicoara";3;-;1;-;4
"291230 Ibicuí";1;1;-;1;3
"291270 Ibirapitanga";4;4;1;2;11
"291290 Ibirataia";2;4;1;3;10
"291345 Igrapiúna";2;8;9;5;24
"291350 Iguaí";-;1;2;-;3
"291360 Ilhéus";2;5;7;10;24
"291390 Ipiaú";5;3;3;2;13
"291410 Ipupiara";-;1;-;-;1
"291430 Iramaia";1;-;1;-;2
"291440 Iraquara";1;-;-;-;1
"291450 Irará";-;-;1;-;1
"291460 Irecê";-;-;-;1;1
"291465 Itabela";2;3;-;-;5
"291470 Itaberaba";-;-;1;-;1
"291480 Itabuna";1;-;-;3;4
"291490 Itacaré";1;-;2;3;6
"291510 Itagi";1;2;-;3;6
"291520 Itagibá";1;-;-;-;1
"291550 Itajuípe";2;2;-;-;4
"291560 Itamaraju";1;-;3;2;6
"291570 Itamari";7;-;1;2;10
"291580 Itambé";-;1;-;-;1
"291600 Itanhém";-;1;1;-;2
"291630 Itapebi";-;-;-;2;2
"291660 Itapitanga";-;2;1;2;5
"291670 Itaquara";2;-;1;1;4
"291710 Itororó";-;1;-;-;1
"291730 Ituberá";51;27;34;19;131
"291735 Jaborandi";-;2;-;2;4
