Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Escolaridade
Período:2017
"Município Resid";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"290020 Abaré";-;-;-;-;-;-;1;-;-;-;-;1
"290030 Acajutiba";-;-;-;1;-;-;-;-;-;-;-;1
"290070 Alagoinhas";-;-;1;-;-;-;-;-;-;-;-;1
"290100 Amargosa";2;5;1;-;1;-;-;1;-;-;-;10
"290130 Andaraí";-;1;1;-;-;-;-;-;-;-;-;2
"290195 Apuarema";1;1;-;-;3;1;1;-;-;-;-;7
"290225 Arataca";-;1;-;-;-;-;-;-;-;-;-;1
"290230 Aratuípe";1;-;-;-;-;-;-;-;-;-;-;1
"290280 Barra da Estiva";5;1;12;1;2;-;-;-;-;1;-;22
"290290 Barra do Choça";-;-;-;1;-;-;-;1;-;-;-;2
"290310 Barra do Rocha";-;-;-;1;-;-;-;-;-;-;-;1
"290320 Barreiras";-;1;1;-;1;-;-;-;-;-;-;3
"290330 Barro Preto";1;-;-;-;-;-;-;-;-;-;-;1
"290370 Boa Nova";-;1;-;-;-;-;-;-;-;-;-;1
"290410 Boquira";1;-;-;-;-;-;-;1;-;-;-;2
"290420 Botuporã";-;-;-;-;1;-;-;-;-;-;-;1
"290470 Buerarema";6;1;7;2;4;-;1;1;-;-;2;24
"290480 Caatiba";-;-;-;1;-;-;-;-;-;-;-;1
"290490 Cachoeira";-;-;-;-;3;-;2;-;-;-;2;7
"290510 Caém";1;-;-;-;-;-;-;1;-;-;-;2
"290540 Cairu";1;-;2;-;5;-;-;-;1;-;-;9
"290550 Caldeirão Grande";-;1;-;-;-;-;-;-;-;-;2;3
"290560 Camacan";-;-;1;-;-;-;-;-;-;-;-;1
"290570 Camaçari";1;-;-;1;-;-;-;1;-;-;2;5
"290580 Camamu";25;3;16;4;7;3;5;4;-;-;12;79
"290600 Campo Formoso";-;1;-;2;-;-;-;-;-;-;-;3
"290610 Canápolis";1;-;-;-;-;-;-;-;-;-;-;1
"290630 Canavieiras";-;1;4;-;1;-;-;-;-;-;-;6
"290650 Candeias";1;-;-;-;-;-;-;-;-;-;-;1
"290689 Caraíbas";-;-;1;-;-;-;-;-;-;-;-;1
"290800 Coaraci";1;1;1;-;2;-;2;-;-;-;-;7
"290810 Cocos";7;-;6;2;-;1;-;1;-;-;-;17
"290870 Condeúba";-;-;-;1;-;-;-;-;-;-;-;1
"290880 Contendas do Sincorá";-;1;-;-;-;-;1;1;-;-;-;3
"290910 Coribe";11;-;1;-;1;-;1;2;-;1;-;17
"290930 Correntina";-;-;1;-;-;-;-;-;-;-;-;1
"291000 Dário Meira";-;3;1;1;1;-;1;-;-;-;-;7
"291005 Dias d'Ávila";-;-;-;-;1;-;-;-;-;-;-;1
"291030 Elísio Medrado";-;-;-;-;-;1;-;-;-;-;-;1
"291077 Feira da Mata";1;-;-;1;-;-;1;1;-;-;-;4
"291085 Filadélfia";1;-;-;-;-;-;-;-;-;-;-;1
"291100 Floresta Azul";1;-;-;-;1;-;-;-;-;-;-;2
"291110 Formosa do Rio Preto";1;-;1;-;-;-;-;-;-;-;-;2
