Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2017
"Município Resid";"Masculino";"Feminino";"Total"
"290020 Abaré";1;-;1
"290030 Acajutiba";1;-;1
"290070 Alagoinhas";1;-;1
"290100 Amargosa";5;5;10
"290130 Andaraí";2;-;2
"290195 Apuarema";6;1;7
"290225 Arataca";-;1;1
"290230 Aratuípe";1;-;1
"290280 Barra da Estiva";18;4;22
"290290 Barra do Choça";2;-;2
"290310 Barra do Rocha";1;-;1
"290320 Barreiras";3;-;3
"290330 Barro Preto";1;-;1
"290370 Boa Nova";1;-;1
"290410 Boquira";1;1;2
"290420 Botuporã";-;1;1
"290470 Buerarema";13;11;24
"290480 Caatiba";-;1;1
"290490 Cachoeira";4;3;7
"290510 Caém";-;2;2
"290540 Cairu";6;3;9
"290550 Caldeirão Grande";2;1;3
"290560 Camacan";-;1;1
"290570 Camaçari";3;2;5
"290580 Camamu";42;37;79
"290600 Campo Formoso";2;1;3
"290610 Canápolis";1;-;1
"290630 Canavieiras";3;3;6
"290650 Candeias";-;1;1
"290689 Caraíbas";1;-;1
"290800 Coaraci";5;2;7
"290810 Cocos";7;10;17
"290870 Condeúba";-;1;1
"290880 Contendas do Sincorá";1;2;3
"290910 Coribe";12;5;17
"290930 Correntina";1;-;1
"291000 Dário Meira";3;4;7
"291005 Dias d'Ávila";1;-;1
"291030 Elísio Medrado";1;-;1
"291077 Feira da Mata";3;1;4
"291085 Filadélfia";1;-;1
"291100 Floresta Azul";1;1;2
"291110 Formosa do Rio Preto";1;1;2
"291120 Gandu";33;17;50
"291170 Guanambi";2;-;2
"291210 Ibicaraí";2;1;3
"291220 Ibicoara";4;-;4
"291230 Ibicuí";2;1;3
"291270 Ibirapitanga";7;4;11
"291290 Ibirataia";6;4;10
"291345 Igrapiúna";10;14;24
"291350 Iguaí";2;1;3
"291360 Ilhéus";16;8;24
"291390 Ipiaú";10;3;13
"291410 Ipupiara";1;-;1
"291430 Iramaia";1;1;2
"291440 Iraquara";-;1;1
"291450 Irará";1;-;1
"291460 Irecê";1;-;1
"291465 Itabela";4;1;5
"291470 Itaberaba";1;-;1
"291480 Itabuna";3;1;4
"291490 Itacaré";6;-;6
"291510 Itagi";4;2;6
"291520 Itagibá";-;1;1
"291550 Itajuípe";1;3;4
"291560 Itamaraju";5;1;6
"291570 Itamari";7;3;10
"291580 Itambé";-;1;1
"291600 Itanhém";2;-;2
"291630 Itapebi";2;-;2
"291660 Itapitanga";5;-;5
"291670 Itaquara";1;3;4
"291710 Itororó";1;-;1
"291730 Ituberá";70;61;131
"291735 Jaborandi";4;-;4
"291750 Jacobina";2;2;4
"291760 Jaguaquara";14;8;22
"291800 Jequié";20;14;34
"291820 Jiquiriçá";18;17;35
"291830 Jitaúna";16;15;31
"291840 Juazeiro";-;1;1
"291845 Jucuruçu";1;-;1
"291855 Jussari";1;-;1
"291880 Laje";8;4;12
"291915 Lapão";-;1;1
"291920 Lauro de Freitas";1;1;2
"291930 Lençóis";1;2;3
"291980 Macaúbas";1;-;1
"292050 Maracás";1;2;3
"292070 Maraú";18;13;31
"292090 Mascote";1;-;1
"292100 Mata de São João";-;1;1
"292120 Miguel Calmon";14;10;24
"292140 Mirangaba";1;-;1
"292220 Muniz Ferreira";1;-;1
"292240 Mutuípe";37;28;65
