Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Tipo de entrada
Período:2017
"Município Resid";"Ign/Branco";"Caso novo";"Recidiva";"Transferência";"Total"
"290020 Abaré";-;1;-;-;1
"290030 Acajutiba";-;1;-;-;1
"290070 Alagoinhas";-;1;-;-;1
"290100 Amargosa";-;6;3;1;10
"290130 Andaraí";-;1;1;-;2
"290195 Apuarema";-;7;-;-;7
"290225 Arataca";-;1;-;-;1
"290230 Aratuípe";-;1;-;-;1
"290280 Barra da Estiva";-;16;6;-;22
"290290 Barra do Choça";-;2;-;-;2
"290310 Barra do Rocha";-;1;-;-;1
"290320 Barreiras";-;2;1;-;3
"290330 Barro Preto";-;1;-;-;1
"290370 Boa Nova";-;1;-;-;1
"290410 Boquira";-;2;-;-;2
"290420 Botuporã";-;1;-;-;1
"290470 Buerarema";1;22;1;-;24
"290480 Caatiba";-;1;-;-;1
"290490 Cachoeira";-;6;1;-;7
"290510 Caém";-;2;-;-;2
"290540 Cairu";-;9;-;-;9
"290550 Caldeirão Grande";-;3;-;-;3
"290560 Camacan";-;1;-;-;1
"290570 Camaçari";-;4;1;-;5
"290580 Camamu";-;73;5;1;79
"290600 Campo Formoso";-;2;1;-;3
"290610 Canápolis";-;1;-;-;1
"290630 Canavieiras";-;5;1;-;6
"290650 Candeias";-;1;-;-;1
"290689 Caraíbas";-;1;-;-;1
"290800 Coaraci";-;7;-;-;7
"290810 Cocos";4;11;2;-;17
"290870 Condeúba";-;1;-;-;1
"290880 Contendas do Sincorá";-;3;-;-;3
"290910 Coribe";-;17;-;-;17
"290930 Correntina";-;1;-;-;1
"291000 Dário Meira";-;4;3;-;7
"291005 Dias d'Ávila";-;1;-;-;1
"291030 Elísio Medrado";-;1;-;-;1
"291077 Feira da Mata";-;4;-;-;4
"291085 Filadélfia";-;1;-;-;1
"291100 Floresta Azul";-;2;-;-;2
"291110 Formosa do Rio Preto";1;1;-;-;2
"291120 Gandu";-;50;-;-;50
"291170 Guanambi";-;1;1;-;2
"291210 Ibicaraí";-;3;-;-;3
"291220 Ibicoara";-;4;-;-;4
"291230 Ibicuí";-;2;1;-;3
"291270 Ibirapitanga";-;9;2;-;11
"291290 Ibirataia";1;8;1;-;10
"291345 Igrapiúna";-;19;3;2;24
"291350 Iguaí";-;1;2;-;3
"291360 Ilhéus";1;19;4;-;24
"291390 Ipiaú";-;10;3;-;13
"291410 Ipupiara";-;-;1;-;1
"291430 Iramaia";-;2;-;-;2
"291440 Iraquara";-;1;-;-;1
"291450 Irará";-;-;1;-;1
"291460 Irecê";-;1;-;-;1
"291465 Itabela";-;4;1;-;5
"291470 Itaberaba";-;1;-;-;1
"291480 Itabuna";-;4;-;-;4
"291490 Itacaré";1;3;-;2;6
"291510 Itagi";-;6;-;-;6
"291520 Itagibá";-;1;-;-;1
"291550 Itajuípe";-;4;-;-;4
"291560 Itamaraju";1;5;-;-;6
"291570 Itamari";-;10;-;-;10
"291580 Itambé";-;1;-;-;1
"291600 Itanhém";-;2;-;-;2
"291630 Itapebi";-;2;-;-;2
"291660 Itapitanga";1;3;1;-;5
"291670 Itaquara";1;2;1;-;4
"291710 Itororó";-;1;-;-;1
"291730 Ituberá";-;129;2;-;131
"291735 Jaborandi";1;2;1;-;4
"291750 Jacobina";-;1;3;-;4
