Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Mes Diagnóstico
Período:2017
"Município Resid";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"290020 Abaré";-;-;-;-;-;-;1;-;-;-;-;-;1
"290030 Acajutiba";-;-;-;-;-;-;1;-;-;-;-;-;1
"290070 Alagoinhas";-;-;-;-;-;-;-;-;-;1;-;-;1
"290100 Amargosa";-;-;-;-;2;-;1;-;-;-;6;1;10
"290130 Andaraí";-;-;1;-;-;-;-;-;-;-;-;1;2
"290195 Apuarema";-;2;1;1;1;-;-;-;-;-;-;2;7
"290225 Arataca";-;1;-;-;-;-;-;-;-;-;-;-;1
"290230 Aratuípe";-;-;-;-;-;-;-;-;-;-;-;1;1
"290280 Barra da Estiva";6;2;1;4;-;2;2;5;-;-;-;-;22
"290290 Barra do Choça";-;-;-;-;-;-;1;-;-;1;-;-;2
"290310 Barra do Rocha";-;-;-;-;1;-;-;-;-;-;-;-;1
"290320 Barreiras";-;1;1;-;-;1;-;-;-;-;-;-;3
"290330 Barro Preto";-;-;-;-;1;-;-;-;-;-;-;-;1
"290370 Boa Nova";-;-;-;-;-;-;-;-;1;-;-;-;1
"290410 Boquira";-;-;1;-;-;-;-;1;-;-;-;-;2
"290420 Botuporã";-;-;1;-;-;-;-;-;-;-;-;-;1
"290470 Buerarema";3;2;5;1;1;6;-;1;1;3;1;-;24
"290480 Caatiba";-;-;1;-;-;-;-;-;-;-;-;-;1
"290490 Cachoeira";-;1;-;-;-;-;3;-;1;1;-;1;7
"290510 Caém";1;-;-;-;-;-;1;-;-;-;-;-;2
"290540 Cairu";3;-;1;1;-;-;1;1;1;1;-;-;9
"290550 Caldeirão Grande";-;-;-;-;-;-;-;-;-;-;3;-;3
"290560 Camacan";-;-;-;-;-;-;1;-;-;-;-;-;1
"290570 Camaçari";1;-;1;-;-;-;1;1;-;1;-;-;5
"290580 Camamu";6;4;10;11;8;5;9;8;10;4;3;1;79
"290600 Campo Formoso";-;-;-;-;1;-;-;-;2;-;-;-;3
"290610 Canápolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"290630 Canavieiras";1;1;-;-;1;-;2;1;-;-;-;-;6
"290650 Candeias";-;-;-;-;-;-;1;-;-;-;-;-;1
"290689 Caraíbas";-;-;-;-;-;-;-;-;-;1;-;-;1
"290800 Coaraci";1;1;2;-;1;-;-;-;1;1;-;-;7
"290810 Cocos";-;2;-;2;1;-;1;3;5;1;1;1;17
"290870 Condeúba";-;-;-;1;-;-;-;-;-;-;-;-;1
"290880 Contendas do Sincorá";-;-;-;-;-;-;2;-;1;-;-;-;3
"290910 Coribe";-;5;2;1;-;-;1;5;-;-;2;1;17
"290930 Correntina";-;1;-;-;-;-;-;-;-;-;-;-;1
"291000 Dário Meira";-;2;-;1;-;-;-;-;-;-;2;2;7
"291005 Dias d'Ávila";-;-;-;-;-;-;1;-;-;-;-;-;1
"291030 Elísio Medrado";-;-;-;-;-;-;-;-;-;-;-;1;1
"291077 Feira da Mata";-;-;1;-;-;1;-;1;-;1;-;-;4
"291085 Filadélfia";-;-;-;-;1;-;-;-;-;-;-;-;1
"291100 Floresta Azul";1;-;-;-;-;-;-;-;1;-;-;-;2
