Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2024
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"290090 Almadina";1;1;2;-;4
"290100 Amargosa";1;-;2;1;4
"290130 Andaraí";-;-;1;-;1
"290140 Angical";1;-;-;-;1
"290195 Apuarema";-;1;1;-;2
"290205 Araças";3;2;1;-;6
"290210 Araci";-;1;-;-;1
"290225 Arataca";-;1;-;-;1
"290280 Barra da Estiva";4;-;-;-;4
"290290 Barra do Choça";4;4;1;-;9
"290300 Barra do Mendes";-;-;-;1;1
"290310 Barra do Rocha";1;-;-;-;1
"290320 Barreiras";-;-;2;-;2
"290330 Barro Preto";-;1;-;-;1
"290327 Barrocas";-;1;-;-;1
"290370 Boa Nova";2;-;-;-;2
"290390 Bom Jesus da Lapa";1;-;-;-;1
"290395 Bom Jesus da Serra";-;-;2;-;2
"290400 Boninal";1;-;-;-;1
"290405 Bonito";1;-;-;1;2
"290420 Botuporã";1;-;-;-;1
"290430 Brejões";1;-;-;-;1
"290450 Brotas de Macaúbas";1;-;-;-;1
"290460 Brumado";1;1;-;-;2
"290470 Buerarema";3;3;-;-;6
"290490 Cachoeira";1;-;-;-;1
"290510 Caém";2;-;-;1;3
"290515 Caetanos";-;-;-;1;1
"290520 Caetité";1;-;-;-;1
"290530 Cafarnaum";1;1;-;-;2
"290560 Camacan";1;1;2;-;4
"290570 Camaçari";1;-;-;-;1
"290580 Camamu";4;-;-;-;4
"290600 Campo Formoso";-;2;-;-;2
"290610 Canápolis";-;1;-;-;1
"290680 Cansanção";2;-;-;-;2
"290687 Capim Grosso";-;1;-;-;1
"290689 Caraíbas";-;-;-;1;1
"290690 Caravelas";-;2;-;-;2
"290700 Cardeal da Silva";-;1;-;-;1
"290750 Catu";-;-;1;-;1
"290800 Coaraci";1;3;1;-;5
"290810 Cocos";5;2;1;-;8
"290860 Conde";-;1;-;-;1
"290910 Coribe";1;4;7;1;13
"290930 Correntina";-;1;-;-;1
"290970 Cristópolis";-;1;-;-;1
"291000 Dário Meira";3;-;1;1;5
"291010 Dom Basílio";-;1;-;-;1
"291040 Encruzilhada";1;2;-;-;3
"291060 Esplanada";2;-;-;-;2
"291072 Eunápolis";2;3;-;-;5
"291077 Feira da Mata";-;-;1;-;1
"291100 Floresta Azul";-;2;-;-;2
"291110 Formosa do Rio Preto";2;-;-;-;2
"291120 Gandu";6;3;1;-;10
"291150 Gongogi";-;-;1;-;1
"291160 Governador Mangabeira";-;-;1;-;1
"291170 Guanambi";2;-;-;-;2
"291180 Guaratinga";2;-;2;-;4
"291200 Ibiassucê";1;-;-;-;1
"291210 Ibicaraí";1;-;-;-;1
"291220 Ibicoara";8;4;3;-;15
"291230 Ibicuí";3;-;-;-;3
"291270 Ibirapitanga";1;2;-;-;3
"291290 Ibirataia";-;1;1;1;3
"291300 Ibitiara";-;-;-;1;1
"291345 Igrapiúna";-;1;1;-;2
"291350 Iguaí";4;3;3;-;10
"291360 Ilhéus";1;2;-;-;3
"291370 Inhambupe";3;-;-;-;3
"291390 Ipiaú";1;2;1;-;4
"291420 Irajuba";2;-;-;-;2
"291430 Iramaia";-;-;1;-;1
"291440 Iraquara";2;-;1;-;3
"291450 Irará";-;1;-;-;1
"291460 Irecê";2;1;-;-;3
"291480 Itabuna";-;1;-;-;1
"291490 Itacaré";-;1;-;-;1
"291510 Itagi";1;-;-;-;1
"291520 Itagibá";1;1;-;-;2
"291550 Itajuípe";-;-;3;-;3
"291560 Itamaraju";1;1;-;-;2
"291570 Itamari";6;2;-;-;8
"291580 Itambé";-;1;-;1;2
"291630 Itapebi";-;-;1;-;1
"291640 Itapetinga";-;1;-;-;1
"291670 Itaquara";1;1;-;-;2
"291720 Ituaçu";1;2;-;-;3
"291730 Ituberá";2;5;-;-;7
"291740 Jacaraci";1;-;-;-;1
"291750 Jacobina";1;-;-;-;1
"291760 Jaguaquara";2;2;-;-;4
"291770 Jaguarari";5;1;2;-;8
"291800 Jequié";4;2;-;-;6
"291820 Jiquiriçá";1;3;1;-;5
"291830 Jitaúna";1;-;1;-;2
"291835 João Dourado";-;-;1;-;1
"291845 Jucuruçu";1;-;-;-;1
"291870 Lafaiete Coutinho";1;-;-;-;1
"291880 Laje";1;-;-;-;1
"291890 Lajedão";1;-;-;-;1
"291900 Lajedinho";-;-;1;-;1
"291930 Lençóis";1;-;1;-;2
"291970 Macarani";-;1;-;-;1
"292020 Malhada";1;-;-;-;1
"292050 Maracás";1;-;-;-;1
"292070 Maraú";5;4;-;-;9
"292090 Mascote";1;1;-;-;2
"292100 Mata de São João";-;1;-;-;1
"292120 Miguel Calmon";1;2;-;-;3
"292170 Morro do Chapéu";-;1;-;-;1
"292180 Mortugaba";-;1;-;-;1
"292240 Mutuípe";14;6;15;1;36
"292260 Nilo Peçanha";2;5;-;-;7
"292270 Nova Canaã";3;1;1;1;6
"292275 Nova Ibiá";1;1;-;-;2
"292285 Nova Redenção";2;-;-;-;2
"292290 Nova Soure";-;-;1;-;1
"292350 Palmeiras";19;1;4;-;24
"292430 Piatã";-;-;1;-;1
"292450 Pindaí";1;-;-;-;1
"292460 Pindobaçu";5;1;-;-;6
"292467 Piraí do Norte";5;-;-;-;5
"292510 Poções";1;-;-;-;1
"292530 Porto Seguro";10;9;-;1;20
"292550 Prado";1;1;-;-;2
"292575 Presidente Tancredo Neves";1;1;-;-;2
"292670 Rio de Contas";-;-;-;1;1
"292740 Salvador";1;3;2;1;7
"292770 Santa Cruz Cabrália";1;1;2;-;4
"292790 Santa Inês";1;1;-;-;2
"292805 Santa Luzia";-;-;1;-;1
"292810 Santa Maria da Vitória";3;3;1;-;7
"292820 Santana";-;1;-;-;1
"292860 Santo Amaro";2;3;-;-;5
"292870 Santo Antônio de Jesus";1;-;-;-;1
"292890 São Desidério";-;1;-;-;1
"292905 São Félix do Coribe";4;2;-;-;6
"292930 São Gonçalo dos Campos";1;-;-;-;1
"292935 São José da Vitória";4;1;-;-;5
"292980 Saúde";3;1;-;-;4
"292990 Seabra";4;2;-;-;6
"293010 Senhor do Bonfim";6;2;2;-;10
"293015 Serra do Ramalho";-;-;1;-;1
"293030 Serra Dourada";-;2;-;-;2
"293080 Souto Soares";1;1;-;-;2
"293090 Tabocas do Brejo Velho";-;1;1;-;2
"293100 Tanhaçu";1;-;1;-;2
"293105 Tanque Novo";1;-;-;-;1
"293120 Taperoá";4;2;-;-;6
"293135 Teixeira de Freitas";-;2;1;-;3
"293160 Teolândia";-;1;1;-;2
"293180 Tremedal";-;2;-;-;2
"293200 Uauá";1;-;-;-;1
"293210 Ubaíra";-;1;2;-;3
"293220 Ubaitaba";1;1;-;-;2
"293230 Ubatã";-;-;1;-;1
"293240 Uibaí";-;1;-;-;1
"293250 Una";2;-;-;-;2
"293260 Urandi";1;-;-;-;1
"293270 Uruçuca";1;1;-;-;2
"293280 Utinga";3;-;-;-;3
"293290 Valença";4;6;2;-;12
"293305 Várzea da Roça";-;1;-;-;1
"293310 Várzea do Poço";-;1;-;-;1
"293320 Vera Cruz";-;1;-;-;1
"293330 Vitória da Conquista";-;2;1;-;3
"293340 Wagner";2;2;-;1;5
"293345 Wanderley";-;3;1;-;4
"293350 Wenceslau Guimarães";4;5;-;-;9
"293360 Xique-Xique";-;1;-;-;1
"Total";260;184;95;17;556
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana de pacientes que residem na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 14/10/2024.
 
