Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Local de Ocorrência
Período:2017
"Município-BA";"Hospital";"Outros estab de saúde";"Domicílio";"Via pública";"Outros";"Local Ignorado";"Total"
"290010 Abaíra";28;-;49;2;2;-;81
"290020 Abaré";46;-;21;8;4;-;79
"290030 Acajutiba";43;8;40;12;9;-;112
"290035 Adustina";23;3;40;3;4;-;73
"290040 Água Fria";59;-;40;8;6;1;114
"290060 Aiquara";14;-;14;-;-;-;28
"290070 Alagoinhas";686;2;264;65;44;-;1061
"290080 Alcobaça";83;-;35;11;9;1;139
"290090 Almadina";22;3;26;1;4;-;56
"290100 Amargosa";184;1;87;18;10;-;300
"290110 Amélia Rodrigues";100;5;44;7;5;-;161
"290115 América Dourada";48;-;25;11;1;-;85
"290120 Anagé";57;1;55;3;2;-;118
"290130 Andaraí";36;-;14;3;6;2;61
"290135 Andorinha";30;1;50;-;5;-;86
"290140 Angical";43;4;39;2;7;-;95
"290150 Anguera";24;27;26;4;4;-;85
"290160 Antas";44;-;25;4;7;-;80
"290170 Antônio Cardoso";29;4;21;2;5;-;61
"290180 Antônio Gonçalves";38;2;36;-;3;-;79
"290190 Aporá";41;6;52;7;7;-;113
"290195 Apuarema";30;3;13;5;1;-;52
"290205 Araças";45;-;17;7;5;-;74
"290200 Aracatu";50;-;41;4;2;-;97
"290210 Araci";143;4;106;15;9;-;277
"290220 Aramari";36;1;22;4;2;-;65
"290225 Arataca";36;1;22;3;7;-;69
"290230 Aratuípe";32;-;8;2;3;-;45
"290240 Aurelino Leal";53;-;26;9;5;-;93
"290250 Baianópolis";30;11;23;3;5;-;72
"290260 Baixa Grande";72;2;79;6;2;-;161
"290265 Banzaê";42;1;21;1;4;-;69
"290270 Barra";174;-;91;12;13;1;291
"290280 Barra da Estiva";98;-;32;4;4;-;138
"290290 Barra do Choça";122;-;71;18;10;-;221
"290300 Barra do Mendes";45;-;40;11;3;-;99
"290310 Barra do Rocha";19;-;15;2;4;2;42
"290320 Barreiras";490;2;167;38;63;-;760
"290323 Barro Alto";26;11;45;6;4;-;92
"290330 Barro Preto";22;-;19;2;4;-;47
"290327 Barrocas";37;1;23;3;1;-;65
"290340 Belmonte";109;-;46;22;16;1;194
"290350 Belo Campo";104;-;35;9;6;-;154
"290360 Biritinga";40;1;53;6;4;-;104
"290370 Boa Nova";44;1;56;4;6;-;111
"290380 Boa Vista do Tupim";48;3;52;4;5;-;112
"290390 Bom Jesus da Lapa";187;48;86;44;25;1;391
"290395 Bom Jesus da Serra";29;-;24;2;2;-;57
"290400 Boninal";44;-;42;4;1;-;91
"290405 Bonito";51;-;15;2;2;-;70
"290410 Boquira";86;-;63;3;2;1;155
