Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Escolaridade
Período:2017
"Município-BA";"Nenhuma";"1-3 anos";"4-7 anos";"8-11 anos";"12e+";"Ignorado";"Total"
"290010 Abaíra";32;36;3;-;2;8;81
"290020 Abaré";26;25;5;3;-;20;79
"290030 Acajutiba";47;24;18;12;-;11;112
"290035 Adustina";17;12;5;2;1;36;73
"290040 Água Fria";37;30;12;8;-;27;114
"290060 Aiquara";7;6;-;-;-;15;28
"290070 Alagoinhas";273;38;342;243;37;128;1061
"290080 Alcobaça";45;31;11;8;1;43;139
"290090 Almadina";23;11;9;4;-;9;56
"290100 Amargosa";133;75;34;14;7;37;300
"290110 Amélia Rodrigues";43;31;20;22;2;43;161
"290115 América Dourada";19;15;13;8;1;29;85
"290120 Anagé";44;18;3;5;-;48;118
"290130 Andaraí";18;23;8;5;1;6;61
"290135 Andorinha";36;26;5;1;1;17;86
"290140 Angical";18;20;5;8;1;43;95
"290150 Anguera";43;16;8;5;-;13;85
"290160 Antas";19;20;5;3;1;32;80
"290170 Antônio Cardoso";24;8;6;6;-;17;61
"290180 Antônio Gonçalves";29;16;13;2;-;19;79
"290190 Aporá";57;15;16;8;2;15;113
"290195 Apuarema";7;9;5;1;1;29;52
"290205 Araças";36;6;9;11;-;12;74
"290200 Aracatu";44;29;4;-;-;20;97
"290210 Araci";132;67;35;13;1;29;277
"290220 Aramari";22;5;20;11;-;7;65
"290225 Arataca";26;18;12;1;-;12;69
"290230 Aratuípe";16;10;7;3;-;9;45
"290240 Aurelino Leal";42;18;6;7;-;20;93
"290250 Baianópolis";17;15;3;1;-;36;72
"290260 Baixa Grande";100;11;24;8;-;18;161
"290265 Banzaê";19;13;8;5;-;24;69
"290270 Barra";92;74;38;24;2;61;291
"290280 Barra da Estiva";24;66;23;7;1;17;138
"290290 Barra do Choça";81;61;20;4;1;54;221
"290300 Barra do Mendes";29;30;22;10;1;7;99
"290310 Barra do Rocha";12;4;5;2;-;19;42
"290320 Barreiras";138;161;93;70;17;281;760
"290323 Barro Alto";24;8;41;5;1;13;92
"290330 Barro Preto";12;11;6;1;1;16;47
"290327 Barrocas";22;18;6;2;-;17;65
"290340 Belmonte";65;18;50;22;3;36;194
"290350 Belo Campo";49;54;17;3;1;30;154
"290360 Biritinga";33;27;11;3;1;29;104
"290370 Boa Nova";14;15;3;3;-;76;111
"290380 Boa Vista do Tupim";53;25;9;9;2;14;112
"290390 Bom Jesus da Lapa";82;75;54;38;5;137;391
"290395 Bom Jesus da Serra";24;19;7;-;-;7;57
"290400 Boninal";40;29;4;4;-;14;91
"290405 Bonito";13;12;7;3;1;34;70
"290410 Boquira";63;55;13;3;-;21;155
"290420 Botuporã";29;10;-;-;-;18;57
"290430 Brejões";39;32;7;2;1;15;96
"290440 Brejolândia";7;9;3;-;1;10;30
"290450 Brotas de Macaúbas";34;26;10;7;-;12;89
"290460 Brumado";119;87;42;28;2;182;460
"290470 Buerarema";54;59;14;15;2;27;171
"290475 Buritirama";36;17;10;7;1;13;84
"290480 Caatiba";21;8;2;-;2;14;47
"290485 Cabaceiras do Paraguaçu";34;26;15;3;-;23;101
"290490 Cachoeira";53;67;46;25;3;41;235
"290500 Caculé";64;40;8;4;1;9;126
"290510 Caém";23;9;3;1;-;26;62
"290515 Caetanos";31;11;2;4;-;13;61
"290520 Caetité";74;54;17;16;5;127;293
"290530 Cafarnaum";19;12;24;7;1;30;93
"290540 Cairu";16;12;6;7;-;19;60
"290550 Caldeirão Grande";26;9;10;6;-;25;76
"290560 Camacan";70;55;26;18;5;34;208
"290570 Camaçari";240;393;394;217;36;208;1488
"290580 Camamu";74;56;23;14;2;59;228
"290590 Campo Alegre de Lourdes";40;28;25;6;1;14;114
"290600 Campo Formoso";170;73;70;12;5;37;367
"290610 Canápolis";5;1;2;3;-;27;38
"290620 Canarana";47;36;34;13;-;22;152
"290630 Canavieiras";40;44;33;21;6;76;220
"290640 Candeal";27;14;7;5;1;16;70
"290650 Candeias";75;139;106;71;10;104;505
"290660 Candiba";17;11;1;3;1;47;80
"290670 Cândido Sales";70;44;20;11;-;54;199
"290680 Cansanção";83;56;16;8;2;73;238
"290682 Canudos";24;8;11;3;1;43;90
"290685 Capela do Alto Alegre";42;8;16;4;-;14;84
"290687 Capim Grosso";62;45;11;9;2;79;208
"290689 Caraíbas";23;21;4;-;-;16;64
"290690 Caravelas";67;26;20;14;2;22;151
"290700 Cardeal da Silva";19;3;6;6;-;7;41
"290710 Carinhanha";49;15;18;9;1;54;146
"290720 Casa Nova";113;102;53;13;6;101;388
"290730 Castro Alves";79;27;49;19;2;33;209
"290740 Catolândia";1;3;2;-;-;2;8
"290750 Catu";86;86;52;35;6;52;317
"290755 Caturama";24;20;1;2;-;6;53
"290760 Central";26;23;30;10;-;21;110
"290770 Chorrochó";25;13;4;4;-;27;73
"290780 Cícero Dantas";71;26;20;9;1;85;212
