Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Estado Civil
Período:2017
"Município-BA";"Solteiro";"Casado";"Viúvo";"Separado judicialmente";"Outro";"Ignorado";"Total"
"290010 Abaíra";19;26;25;3;2;6;81
"290020 Abaré";20;18;23;1;2;15;79
"290030 Acajutiba";42;25;24;2;7;12;112
"290035 Adustina";32;20;11;3;3;4;73
"290040 Água Fria";38;22;25;1;9;19;114
"290060 Aiquara";11;2;6;-;1;8;28
"290070 Alagoinhas";356;282;231;40;51;101;1061
"290080 Alcobaça";36;27;28;5;10;33;139
"290090 Almadina";21;12;13;1;-;9;56
"290100 Amargosa";103;73;70;7;9;38;300
"290110 Amélia Rodrigues";55;33;32;3;8;30;161
"290115 América Dourada";21;30;18;-;2;14;85
"290120 Anagé";31;38;27;3;2;17;118
"290130 Andaraí";23;15;10;-;8;5;61
"290135 Andorinha";15;27;25;1;9;9;86
"290140 Angical";24;32;19;1;5;14;95
"290150 Anguera";32;21;23;2;1;6;85
"290160 Antas";25;18;12;1;3;21;80
"290170 Antônio Cardoso";24;13;14;3;2;5;61
"290180 Antônio Gonçalves";19;25;15;5;4;11;79
"290190 Aporá";31;36;25;3;4;14;113
"290195 Apuarema";20;7;6;-;2;17;52
"290205 Araças";29;11;17;2;4;11;74
"290200 Aracatu";22;37;20;-;4;14;97
"290210 Araci";98;64;41;2;32;40;277
"290220 Aramari";21;17;15;1;8;3;65
"290225 Arataca";38;11;10;-;4;6;69
"290230 Aratuípe";14;11;10;3;-;7;45
"290240 Aurelino Leal";48;9;14;1;5;16;93
"290250 Baianópolis";14;28;13;-;2;15;72
"290260 Baixa Grande";63;35;31;2;6;24;161
"290265 Banzaê";25;17;8;-;2;17;69
"290270 Barra";88;90;47;7;19;40;291
"290280 Barra da Estiva";39;55;25;1;7;11;138
"290290 Barra do Choça";95;68;29;9;6;14;221
"290300 Barra do Mendes";27;34;25;1;7;5;99
"290310 Barra do Rocha";16;10;5;1;2;8;42
"290320 Barreiras";211;229;122;37;29;132;760
"290323 Barro Alto";27;28;26;-;3;8;92
"290330 Barro Preto";20;6;5;1;1;14;47
"290327 Barrocas";17;22;13;-;3;10;65
"290340 Belmonte";69;47;25;2;20;31;194
"290350 Belo Campo";42;59;28;8;2;15;154
"290360 Biritinga";28;23;23;3;-;27;104
"290370 Boa Nova";49;28;10;-;1;23;111
"290380 Boa Vista do Tupim";35;30;24;2;9;12;112
"290390 Bom Jesus da Lapa";119;121;55;8;21;67;391
"290395 Bom Jesus da Serra";20;17;13;-;3;4;57
"290400 Boninal";24;30;25;-;2;10;91
"290405 Bonito";20;17;7;-;6;20;70
"290410 Boquira";41;46;33;4;16;15;155
"290420 Botuporã";10;27;13;-;-;7;57
"290430 Brejões";36;19;22;1;5;13;96
"290440 Brejolândia";5;10;3;2;-;10;30
"290450 Brotas de Macaúbas";18;31;18;2;-;20;89
"290460 Brumado";96;162;122;12;10;58;460
"290470 Buerarema";93;28;21;1;6;22;171
"290475 Buritirama";24;27;22;-;4;7;84
"290480 Caatiba";10;16;12;-;1;8;47
"290485 Cabaceiras do Paraguaçu";36;30;19;1;4;11;101
"290490 Cachoeira";91;34;59;4;18;29;235
"290500 Caculé";34;45;37;6;1;3;126
"290510 Caém";14;18;11;-;6;13;62
"290515 Caetanos";26;16;11;-;-;8;61
