Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2019
"Município Resid";"Masculino";"Feminino";"Total"
"290040 Água Fria";1;-;1
"290070 Alagoinhas";2;-;2
"290115 América Dourada";2;2;4
"290120 Anagé";-;1;1
"290130 Andaraí";1;1;2
"290135 Andorinha";2;3;5
"290150 Anguera";1;-;1
"290170 Antônio Cardoso";1;-;1
"290180 Antônio Gonçalves";1;-;1
"290210 Araci";5;4;9
"290270 Barra";1;-;1
"290300 Barra do Mendes";2;2;4
"290320 Barreiras";2;1;3
"290323 Barro Alto";3;1;4
"290327 Barrocas";1;2;3
"290360 Biritinga";4;-;4
"290370 Boa Nova";-;1;1
"290380 Boa Vista do Tupim";2;-;2
"290390 Bom Jesus da Lapa";4;4;8
"290395 Bom Jesus da Serra";-;1;1
"290405 Bonito";-;1;1
"290410 Boquira";1;2;3
"290440 Brejolândia";1;-;1
"290460 Brumado";1;-;1
"290475 Buritirama";2;2;4
"290485 Cabaceiras do Paraguaçu";-;2;2
"290490 Cachoeira";1;-;1
"290500 Caculé";2;-;2
"290520 Caetité";2;1;3
"290530 Cafarnaum";1;1;2
"290570 Camaçari";2;1;3
"290590 Campo Alegre de Lourdes";-;1;1
"290600 Campo Formoso";-;2;2
"290620 Canarana";4;-;4
"290630 Canavieiras";-;1;1
"290640 Candeal";2;1;3
"290650 Candeias";1;1;2
"290687 Capim Grosso";1;1;2
"290710 Carinhanha";3;4;7
"290720 Casa Nova";3;1;4
"290730 Castro Alves";1;-;1
"290760 Central";3;4;7
"290780 Cícero Dantas";-;1;1
"290790 Cipó";1;-;1
"290810 Cocos";1;1;2
"290830 Conceição do Almeida";-;1;1
"290840 Conceição do Coité";2;-;2
"290850 Conceição do Jacuípe";-;2;2
"290860 Conde";2;1;3
"290880 Contendas do Sincorá";1;-;1
"290890 Coração de Maria";1;-;1
"290930 Correntina";1;-;1
"290980 Cruz das Almas";1;1;2
"290990 Curaçá";2;2;4
"291005 Dias d'Ávila";8;-;8
"291050 Entre Rios";1;-;1
"290050 Érico Cardoso";1;-;1
"291070 Euclides da Cunha";2;-;2
"291072 Eunápolis";3;-;3
"291077 Feira da Mata";1;-;1
"291080 Feira de Santana";30;21;51
"291110 Formosa do Rio Preto";-;2;2
"291130 Gentio do Ouro";-;1;1
"291170 Guanambi";11;7;18
"291190 Iaçu";3;1;4
"291240 Ibipeba";-;1;1
"291250 Ibipitanga";1;-;1
"291290 Ibirataia";1;-;1
"291300 Ibitiara";1;-;1
"291310 Ibititá";3;6;9
"291320 Ibotirama";2;1;3
"291330 Ichu";1;-;1
"291340 Igaporã";2;-;2
"291350 Iguaí";1;-;1
"291380 Ipecaetá";-;1;1
"291400 Ipirá";1;1;2
"291430 Iramaia";1;1;2
"291440 Iraquara";1;2;3
"291450 Irará";1;-;1
"291460 Irecê";10;6;16
"291535 Itaguaçu da Bahia";-;1;1
"291560 Itamaraju";-;1;1
"291610 Itaparica";2;-;2
"291685 Itatim";1;1;2
"291700 Itiúba";1;-;1
"291730 Ituberá";2;-;2
"291740 Jacaraci";7;6;13
"291760 Jaguaquara";1;1;2
"291780 Jaguaripe";1;-;1
"291800 Jequié";3;1;4
"291810 Jeremoabo";-;1;1
"291835 João Dourado";1;1;2
"291840 Juazeiro";19;12;31
"291850 Jussara";-;1;1
"291875 Lagoa Real";1;-;1
"291915 Lapão";12;3;15
"291920 Lauro de Freitas";4;2;6
"291940 Licínio de Almeida";2;-;2
"291950 Livramento de Nossa Senhora";-;2;2
"291960 Macajuba";3;1;4
"291980 Macaúbas";-;1;1
"292020 Malhada";1;2;3
"292040 Manoel Vitorino";1;-;1
"292050 Maracás";1;1;2
"292060 Maragogipe";3;-;3
"292080 Marcionílio Souza";2;-;2
"292105 Matina";1;1;2
"292120 Miguel Calmon";11;11;22
"292130 Milagres";-;1;1
"292140 Mirangaba";-;1;1
"292145 Mirante";3;1;4
"292160 Morpará";1;-;1
"292170 Morro do Chapéu";2;1;3
"292180 Mortugaba";1;-;1
"292190 Mucugê";1;1;2
"292205 Mulungu do Morro";-;1;1
"292225 Muquém de São Francisco";1;-;1
"292250 Nazaré";1;-;1
"292265 Nordestina";1;-;1
"292303 Novo Horizonte";2;-;2
"292310 Olindina";1;2;3
"292320 Oliveira dos Brejinhos";1;2;3
"292340 Palmas de Monte Alto";2;3;5
"292350 Palmeiras";3;-;3
"292360 Paramirim";1;-;1
"292430 Piatã";-;4;4
"292530 Porto Seguro";2;1;3
"292560 Presidente Dutra";1;-;1
"292575 Presidente Tancredo Neves";-;1;1
"292580 Queimadas";3;2;5
"292590 Quijingue";1;-;1
"292595 Rafael Jambeiro";1;1;2
"292610 Retirolândia";-;3;3
"292630 Riachão do Jacuípe";2;-;2
"292640 Riacho de Santana";1;4;5
"292660 Ribeira do Pombal";-;2;2
"292670 Rio de Contas";2;-;2
"292680 Rio do Antônio";-;1;1
"292700 Rio Real";1;3;4
"292720 Ruy Barbosa";1;1;2
"292730 Salinas da Margarida";2;2;4
"292740 Salvador";12;8;20
"292750 Santa Bárbara";7;1;8
"292810 Santa Maria da Vitória";-;1;1
"292840 Santa Rita de Cássia";2;-;2
"292850 Santa Teresinha";2;-;2
"292800 Santaluz";1;3;4
"292820 Santana";1;-;1
"292860 Santo Amaro";3;1;4
"292880 Santo Estêvão";1;1;2
"292900 São Félix";1;-;1
"292905 São Félix do Coribe";5;1;6
"292925 São Gabriel";3;2;5
"292930 São Gonçalo dos Campos";-;1;1
"292950 São Sebastião do Passé";1;-;1
"292960 Sapeaçu";-;1;1
"292990 Seabra";5;5;10
"293010 Senhor do Bonfim";3;-;3
"293020 Sento Sé";2;1;3
"293030 Serra Dourada";2;-;2
"293040 Serra Preta";1;-;1
"293050 Serrinha";7;4;11
"293070 Simões Filho";2;1;3
"293075 Sítio do Mato";2;-;2
"293080 Souto Soares";1;1;2
"293100 Tanhaçu";2;-;2
"293110 Tanquinho";2;-;2
"293150 Teofilândia";6;1;7
"293190 Tucano";4;3;7
"293220 Ubaitaba";1;-;1
"293245 Umburanas";1;-;1
"293280 Utinga";1;-;1
"293300 Valente";1;-;1
"293330 Vitória da Conquista";3;1;4
"293340 Wagner";-;1;1
"293360 Xique-Xique";6;5;11
"Total";373;240;613
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
